[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 1] Ἔστιν δὲ πίστις ἐλπιζομένων ὑπόστασις, πραγμάτων ἔλεγχος οὐ βλεπομένων·
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 2] ἐν ταύτῃ γὰρ ἐμαρτυρήθησαν οἱ πρεσβύτεροι.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 3] πίστει νοοῦμεν κατηρτίσθαι τοὺς αἰῶνας ῥήματι θεοῦ, εἰς τὸ μὴ ἐκ φαινομένων ⸂τὸ βλεπόμενον⸃ γεγονέναι.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 4] Πίστει πλείονα θυσίαν Ἅβελ παρὰ Κάϊν προσήνεγκεν τῷ θεῷ, διʼ ἧς ἐμαρτυρήθη εἶναι δίκαιος, μαρτυροῦντος ἐπὶ τοῖς δώροις αὐτοῦ ⸂τοῦ θεοῦ⸃, καὶ διʼ αὐτῆς ἀποθανὼν ἔτι ⸀λαλεῖ.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 5] Πίστει Ἑνὼχ μετετέθη τοῦ μὴ ἰδεῖν θάνατον, καὶ οὐχ ηὑρίσκετο διότι μετέθηκεν αὐτὸν ὁ θεός· πρὸ γὰρ τῆς ⸀μεταθέσεως μεμαρτύρηται εὐαρεστηκέναι τῷ θεῷ,
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 6] χωρὶς δὲ πίστεως ἀδύνατον εὐαρεστῆσαι, πιστεῦσαι γὰρ δεῖ τὸν προσερχόμενον τῷ θεῷ ὅτι ἔστιν καὶ τοῖς ἐκζητοῦσιν αὐτὸν μισθαποδότης γίνεται.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 7] πίστει χρηματισθεὶς Νῶε περὶ τῶν μηδέπω βλεπομένων εὐλαβηθεὶς κατεσκεύασεν κιβωτὸν εἰς σωτηρίαν τοῦ οἴκου αὐτοῦ, διʼ ἧς κατέκρινεν τὸν κόσμον, καὶ τῆς κατὰ πίστιν δικαιοσύνης ἐγένετο κληρονόμος.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 8] ⸀Πίστει καλούμενος Ἀβραὰμ ὑπήκουσεν ἐξελθεῖν εἰς ⸀τόπον ὃν ἤμελλεν λαμβάνειν εἰς κληρονομίαν, καὶ ἐξῆλθεν μὴ ἐπιστάμενος ποῦ ἔρχεται.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 9] πίστει παρῴκησεν εἰς γῆν τῆς ἐπαγγελίας ὡς ἀλλοτρίαν, ἐν σκηναῖς κατοικήσας μετὰ Ἰσαὰκ καὶ Ἰακὼβ τῶν συγκληρονόμων τῆς ἐπαγγελίας τῆς αὐτῆς·
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 10] ἐξεδέχετο γὰρ τὴν τοὺς θεμελίους ἔχουσαν πόλιν, ἧς τεχνίτης καὶ δημιουργὸς ὁ θεός.
[SBLGNT | EL | NT | Hebrews | Chapter 11 | Verse 11] πίστει καὶ ⸂αὐτῇ Σάρρᾳ⸃ δύναμιν εἰς καταβολὴν σπέρματος ἔλαβεν καὶ παρὰ καιρὸν ⸀ἡλικίας, ἐπεὶ πιστὸν ἡγήσατο τὸν ἐπαγγειλάμενον·
