[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 1] Διὸ ἀφέντες τὸν τῆς ἀρχῆς τοῦ Χριστοῦ λόγον ἐπὶ τὴν τελειότητα φερώμεθα, μὴ πάλιν θεμέλιον καταβαλλόμενοι μετανοίας ἀπὸ νεκρῶν ἔργων, καὶ πίστεως ἐπὶ θεόν,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 2] βαπτισμῶν ⸀διδαχὴν ἐπιθέσεώς τε χειρῶν, ἀναστάσεώς ⸀τε νεκρῶν καὶ κρίματος αἰωνίου.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 3] καὶ τοῦτο ⸀ποιήσομεν ἐάνπερ ἐπιτρέπῃ ὁ θεός.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 4] Ἀδύνατον γὰρ τοὺς ἅπαξ φωτισθέντας γευσαμένους τε τῆς δωρεᾶς τῆς ἐπουρανίου καὶ μετόχους γενηθέντας πνεύματος ἁγίου
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 5] καὶ καλὸν γευσαμένους θεοῦ ῥῆμα δυνάμεις τε μέλλοντος αἰῶνος,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 6] καὶ παραπεσόντας, πάλιν ἀνακαινίζειν εἰς μετάνοιαν, ἀνασταυροῦντας ἑαυτοῖς τὸν υἱὸν τοῦ θεοῦ καὶ παραδειγματίζοντας.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 7] γῆ γὰρ ἡ πιοῦσα τὸν ἐπʼ αὐτῆς ⸂ἐρχόμενον πολλάκις⸃ ὑετόν, καὶ τίκτουσα βοτάνην εὔθετον ἐκείνοις διʼ οὓς καὶ γεωργεῖται, μεταλαμβάνει εὐλογίας ἀπὸ τοῦ θεοῦ·
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 8] ἐκφέρουσα δὲ ἀκάνθας καὶ τριβόλους ἀδόκιμος καὶ κατάρας ἐγγύς, ἧς τὸ τέλος εἰς καῦσιν.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 9] Πεπείσμεθα δὲ περὶ ὑμῶν, ἀγαπητοί, τὰ κρείσσονα καὶ ἐχόμενα σωτηρίας, εἰ καὶ οὕτως λαλοῦμεν·
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 10] οὐ γὰρ ἄδικος ὁ θεὸς ἐπιλαθέσθαι τοῦ ἔργου ὑμῶν ⸀καὶ τῆς ἀγάπης ἧς ἐνεδείξασθε εἰς τὸ ὄνομα αὐτοῦ, διακονήσαντες τοῖς ἁγίοις καὶ διακονοῦντες.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 11] ἐπιθυμοῦμεν δὲ ἕκαστον ὑμῶν τὴν αὐτὴν ἐνδείκνυσθαι σπουδὴν πρὸς τὴν πληροφορίαν τῆς ἐλπίδος ἄχρι τέλους,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 12] ἵνα μὴ νωθροὶ γένησθε, μιμηταὶ δὲ τῶν διὰ πίστεως καὶ μακροθυμίας κληρονομούντων τὰς ἐπαγγελίας.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 13] Τῷ γὰρ Ἀβραὰμ ἐπαγγειλάμενος ὁ θεός, ἐπεὶ κατʼ οὐδενὸς εἶχεν μείζονος ὀμόσαι, ὤμοσεν καθʼ ἑαυτοῦ,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 14] λέγων· ⸀Εἰ μὴν εὐλογῶν εὐλογήσω σε καὶ πληθύνων πληθυνῶ σε·
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 15] καὶ οὕτως μακροθυμήσας ἐπέτυχεν τῆς ἐπαγγελίας.
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 16] ⸀ἄνθρωποι γὰρ κατὰ τοῦ μείζονος ὀμνύουσιν, καὶ πάσης αὐτοῖς ἀντιλογίας πέρας εἰς βεβαίωσιν ὁ ὅρκος·
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 17] ἐν ᾧ περισσότερον βουλόμενος ὁ θεὸς ἐπιδεῖξαι τοῖς κληρονόμοις τῆς ἐπαγγελίας τὸ ἀμετάθετον τῆς βουλῆς αὐτοῦ ἐμεσίτευσεν ὅρκῳ,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 18] ἵνα διὰ δύο πραγμάτων ἀμεταθέτων, ἐν οἷς ἀδύνατον ψεύσασθαι ⸀θεόν, ἰσχυρὰν παράκλησιν ἔχωμεν οἱ καταφυγόντες κρατῆσαι τῆς προκειμένης ἐλπίδος·
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 19] ἣν ὡς ἄγκυραν ἔχομεν τῆς ψυχῆς, ⸀ἀσφαλῆ τε καὶ βεβαίαν καὶ εἰσερχομένην εἰς τὸ ἐσώτερον τοῦ καταπετάσματος,
[SBLGNT | EL | NT | Hebrews | Chapter 6 | Verse 20] ὅπου πρόδρομος ὑπὲρ ἡμῶν εἰσῆλθεν Ἰησοῦς, κατὰ τὴν τάξιν Μελχισέδεκ ἀρχιερεὺς γενόμενος εἰς τὸν αἰῶνα.
