[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 19] Then Mardocheus thought upon all the works of the Lord, and made his prayer unto him,
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 20] Saying, O Lord, Lord, the King Almighty: for the whole world is in thy power, and if thou hast appointed to save Israel, there is no man that can gainsay thee:
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 21] for thou hast made heaven and earth, and all the wondrous things under the heaven.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 22] Thou art Lord of all things, and there is no man that can resist thee, which art the Lord.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 23] Thou knowest all things, and thou knowest, Lord, that it was neither in contempt nor pride, nor for any desire of glory, that I did not bow down to proud Aman.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 24] For I could have been content with good will for the salvation of Israel to kiss the soles of his feet.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 25] But I did this, that I might not prefer the glory of man above the glory of God: neither will I worship any but thee, O God, neither will I do it in pride.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 26] And now, O Lord God and King, spare thy people: for their eyes are upon us to bring us to nought; yea, they desire to destroy the inheritance, that hath been thine from the beginning.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 27] Despise not the portion, which thou hast delivered out of Egypt for thine own self.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 28] Hear my prayer, and be merciful unto thine inheritance: turn our sorrow into joy, that we may live, O Lord, and praise thy name: and destroy not the mouths of them that praise thee, O Lord.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 29] All Israel in like manner cried most earnestly unto the Lord, because their death was before their eyes.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 30] Queen Esther also, being in fear of death, resorted unto the Lord:
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 31] and laid away her glorious apparel, and put on the garments of anguish and mourning: and instead of precious ointments, she covered her head with ashes and dung, and she humbled her body greatly, and all the places of her joy she filled with her torn hair.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 32] And she prayed unto the Lord God of Israel, saying, O my Lord, thou only art our King: help me, desolate woman, which have no helper but thee:
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 33] for my danger is in mine hand.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 34] From my youth up I have heard in the tribe of my family, that thou, O Lord, tookest Israel from among all people, and our fathers from all their predecessors, for a perpetual inheritance, and thou hast performed whatsoever thou didst promise them.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 35] And now we have sinned before thee: therefore hast thou given us into the hands of our enemies,
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 36] because we worshipped their gods: O Lord, thou art righteous.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 37] Nevertheless it satisfieth them not, that we are in bitter captivity: but they have stricken hands with their idols,
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 38] that they will abolish the thing that thou with thy mouth hast ordained, and destroy thine inheritance, and stop the mouth of them that praise thee, and quench the glory of thy house, and of thine altar,
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 39] and open the mouths of the heathen to set forth the praises of the idols, and to magnify a fleshly king for ever.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 40] O Lord, give not thy sceptre unto them that be nothing, and let them not laugh at our fall; but turn their device upon themselves, and make him an example, that hath begun this against us.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 41] Remember, O Lord, make thyself known in time of our affliction, and give me boldness, O King of the nations, and Lord of all power.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 42] Give me eloquent speech in my mouth before the lion: turn his heart to hate him that fighteth against us, that there may be an end of him, and of all that are likeminded to him:
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 43] but deliver us with thine hand, and help me that am desolate, and which have no other helper but thee.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 44] Thou knowest all things, O Lord; thou knowest that I hate the glory of the unrighteous, and abhor the bed of the uncircumcised, and of all the heathen.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 45] Thou knowest my necessity: for I abhor the sign of my high estate, which is upon mine head in the days wherein I shew myself, and that I abhor it as a menstruous rag, and that I wear it not when I am private by myself,
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 46] and that thine handmaid hath not eaten at Aman’s table, and that I have not greatly esteemed the king’s feast, nor drunk the wine of the drink offerings.
[KJV | EN | OT | Esther (Greek) | Chapter 4 | Verse 47] Neither had thine handmaid any joy since the day that I was brought hither to this present, but in thee, O Lord God of Abraham.
