[IRV | MR | NT | Acts | Chapter 5 | Verse 1] तेव्हा हनन्या नावाचा कोणी एक मनुष्य व त्याची पत्नी सप्पीरा यांनी आपली मालमत्ता विकली,
[IRV | MR | NT | Acts | Chapter 5 | Verse 2] मग त्याने त्या किंमतीतून काही भाग पत्नीच्या संमतीने ठेवून घेतला, आणि काही भाग आणून प्रेषितांच्या पायाशी ठेवला.
[IRV | MR | NT | Acts | Chapter 5 | Verse 3] तेव्हा पेत्र म्हणाला, हनन्या, तू पवित्र आत्म्याशी लबाडी करावी आणि जमिनीच्या किंमतीतून काही ठेवून घ्यावे म्हणून सैतानाने तुझे मन का भरले आहे?
[IRV | MR | NT | Acts | Chapter 5 | Verse 4] ती होती तोपर्यंत तुझी स्वतःची नव्हती काय? आणि ती विकल्यानंतर त्याची आलेली किंमत तुझ्याच स्वाधीन नव्हते काय? ही गोष्ट तू आपल्या मनात का आणली? तू मनुष्याशी नाही, तर देवाशी लबाडी केली आहे.
[IRV | MR | NT | Acts | Chapter 5 | Verse 5] तेव्हा हनन्याने हे शब्द ऐकताच खाली पडून प्राण सोडला. आणि हे ऐकणाऱ्या सर्वांना मोठे भय प्राप्त झाले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 6] तेव्हा काही तरूणांनी उठून त्यास गुंडाळले, व बाहेर नेऊन पुरले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 7] त्यानंतर सुमारे तीन तासांनतर त्याची पत्नी आत आली, पण जे झाले होते ते तिला समजले नव्हते.
[IRV | MR | NT | Acts | Chapter 5 | Verse 8] तेव्हा पेत्राने तिला म्हटले, “मला सांग तुम्ही एवढ्यालाच जमीन विकली काय.” आणि तिने म्हटले, “होय, एवढ्यालाच.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 9] पण पेत्र तिला म्हणाला, “प्रभूच्या आत्म्याची परीक्षा पाहण्यास तुम्ही एकोपा का केला? पाहा ज्यांनी तुझ्या पतीला पुरले त्यांचे पाय दारापाशी आहेत, ते तुलाही उचलून बाहेर नेतील.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 10] तेव्हा लागलेच तिने त्यांच्या पायाजवळ पडून प्राण सोडला, आणि तरूण आत आले तेव्हा ती मरण पावलेली; अशी आढळली आणि त्यांनी तिला बाहेर नेऊन तिच्या पतीजवळ पुरले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 11] आणि सर्व मंडळीला व ज्यांनी या गोष्टी ऐकल्या त्या सर्वांना मोठे भय प्राप्त झाले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 12] तेव्हा प्रेषितांच्या हातून लोकांमध्ये पुष्कळ चमत्कार व अद्भूते घडत असत. आणि ते सर्व एकचित्ताने शलमोनाच्या द्वारमंडपात जमत असत.
[IRV | MR | NT | Acts | Chapter 5 | Verse 13] आणि अविश्वासी लोकांतला कोणी त्यांच्याशी मिळण्यास धजत नसे; तरी लोक त्यांना थोर मानीत असत,
[IRV | MR | NT | Acts | Chapter 5 | Verse 14] इतकेच नव्हे तर विश्वास धरणारे पुष्कळ पुरूष व स्त्रिया यांचे समुदाय प्रभूला मिळत असत.
[IRV | MR | NT | Acts | Chapter 5 | Verse 15] इतके चमत्कार घडले की लोकांनी दुखणेकऱ्यास उचलुन रस्त्यामध्ये आणले, आणि पेत्र जवळून येत असता त्याची सावली तरी त्यांच्यातील कोणावर पडावी म्हणून त्यांना बाजांवर व पलंगावर ठेवले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 16] आणखी यरूशलेम शहराच्या, आसपासच्या चहूकडल्या गावांतील लोकांचे समुदाय रोग्यास व अशुद्ध आत्म्यांनी पिडलेल्यांस घेउन येत असत.
[IRV | MR | NT | Acts | Chapter 5 | Verse 17] तेव्हा महायाजक उठले आणि तो व त्याच्याबरोबर असलेले सर्व सदूकी पंथाचे लोक हे आवेशाने भरले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 18] आणि त्यांनी आपले हात प्रेषितांवर टाकून त्यांना सार्वजनिक बंदिशाळेत ठेवले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 19] परंतु त्यारात्री प्रभूच्या दूताने तुरुंगाचे दरवाजे उघडले व त्यांना बाहेर आणून म्हटले,
[IRV | MR | NT | Acts | Chapter 5 | Verse 20] “जा, आणि परमेश्वराच्या भवनात उभे राहून या जीवनाचा सर्व संदेश लोकांस सांगा.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 21] हे ऐकून उजाडताच ते परमेश्वराच्या भवनामध्ये जाऊन शिक्षण देऊ लागले, इकडे महायाजक व त्यांच्याबरोबर जे होते त्यांनी येऊन न्यायसभा व इस्राएल लोकांचे संपूर्ण वडीलमंडळ एकत्र बोलावले, आणि त्यांना आणण्यास बंदिशाळेकडे पाठवले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 22] पण तिकडे गेलेल्या शिपायांना ते तुरुंगात सापडले नाहीत, म्हणून त्यांनी परत येऊन सांगितले,
[IRV | MR | NT | Acts | Chapter 5 | Verse 23] “बंदिशाळा चांगल्या व्यवस्थेने बंद केलेली आणि दरवाजांपाशी पहारेकरी उभे राहिलेले आम्हास आढळले, परंतु तुरुंग उघडल्यावर आम्हास आत कोणी सापडले नाही.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 24] हे वर्तमान ऐकून याचा काय परिणाम होईल, ह्याविषयी परमेश्वराच्या भवनाचा सरदार व मुख्य याजक लोक घोटाळ्यात पडले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 25] इतक्यात कोणीतरी येऊन त्यांना असे सांगितले, पाहा, “ज्या मनुष्यास तुम्ही तुरुंगात ठेवले होते ते तर परमेश्वराच्या भवनात उभे राहून लोकांस शिक्षण देत आहेत.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 26] तेव्हा सरदाराने शिपायांसह जाऊन त्यांना जुलूम न करता आणले, कारण लोक आपणाला दगडमार करतील, असे त्यांना भय वाटत होते.
[IRV | MR | NT | Acts | Chapter 5 | Verse 27] त्यांनी त्यांना आणून न्यायसभेपुढे उभे केले, तेव्हा महायाजकाने त्यांना विचारले,
[IRV | MR | NT | Acts | Chapter 5 | Verse 28] “या नावाने शिक्षण देऊ नका, असे आम्ही तुम्हास निक्षून सांगितले होते की नाही, तरी पाहा, तुम्ही आपल्या शिकवणीने यरूशलेम शहर भरून टाकले आहे आणि या मनुष्याच्या रक्तपाताचा दोष आमच्यावर आणू पाहत आहात.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 29] परंतु पेत्राने व इतर प्रेषितांनी उत्तर दिले, “आम्ही मनुष्यांपेक्षा देवाची आज्ञा मानली पाहिजे,
[IRV | MR | NT | Acts | Chapter 5 | Verse 30] ज्या येशूला तुम्ही वधस्तंभावर टांगून मारले, त्यास आपल्या पूर्वजांच्या देवाने उठवले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 31] त्याने इस्राएलाला पश्चात्ताप व पापांची क्षमा ही देणगी देण्याकरता देवाने त्यास आपल्या उजव्या हाताशी अधिपती व तारणारा असे उच्चपद दिले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 32] या गोष्टीविषयी आम्ही साक्षी आहोत आणि देवाने आपल्या आज्ञा पाळणाऱ्यांना जो पवित्र आत्मा दिला, आहे तो सुध्दा साक्षी आहे.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 33] हे ऐकून ते चिडून गेले आणि त्यांना जिवे मारण्याचा विचार करू लागले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 34] परंतु सर्व लोकांनी प्रतिष्ठित मानलेला गमलियेल नावाचा एक परूशी शास्त्राध्यापक होता, त्याने न्यायसभेत उभे राहून त्या मनुष्यांना थोडा वेळ बाहेर पाठवण्यास सांगितले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 35] मग तो त्यांना म्हणाला, “अहो इस्राएल लोकांनो, तुम्ही या मनुष्यांचे काय करणार ह्याविषयी जपून असा.
[IRV | MR | NT | Acts | Chapter 5 | Verse 36] कारण काही दिवसांपूर्वी, थुदास हा पुढे येऊन मी कोणीतरी आहे, असे म्हणू लागला, त्यास सुमारे चारशे माणसे मिळाली. तो मारला गेला आणि जितके त्यास मानत होते त्या सर्वाची दाणादाण होऊन ते नाहीसे झाले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 37] त्याच्यामागून गालीलकर यहूदा नावनिशी होण्याच्या दिवसात पुढे आला व त्याने पुष्कळ लोकांस फितवून आपल्या नादी लावले त्याचाही नाश झाला. व जितके त्यास मानत होते त्या सर्वांची पांगापांग झाली.
[IRV | MR | NT | Acts | Chapter 5 | Verse 38] म्हणून मी तुम्हास आता सांगतो, या मनुष्यांपासून दूर राहा व त्याना जाऊ द्या कारण हा बेत किंवा हे कार्य मनुष्याचे असल्यास नष्ट होईल.
[IRV | MR | NT | Acts | Chapter 5 | Verse 39] परंतु ते देवाचे असल्यास तुम्हास ते नष्ट करता यावयाचे नाही, तुम्ही मात्र देवाचे विरोधी ठराल.”
[IRV | MR | NT | Acts | Chapter 5 | Verse 40] तेव्हा त्यांनी त्याचे सांगणे मान्य केले, त्यांनी प्रेषितांना बोलावून त्यांना मारहाण केली आणि येशूच्या नावाने बोलू नका असे निक्षून सांगून त्यांना सोडून दिले.
[IRV | MR | NT | Acts | Chapter 5 | Verse 41] ते तर त्या नावासाठी आपण अपमानास पात्र ठरविण्यांत आलो म्हणून आनंद करीत न्यायसभेपुढून निघून गेले.
