[JPS | EN | OT | Leviticus | Chapter 6 | Verse 1] (5-20) And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 2] (5-21) If any one sin, and commit a trespass against the LORD, and deal falsely with his neighbour in a matter of deposit, or of pledge, or of robbery, or have oppressed his neighbour;
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 3] (5-22) or have found that which was lost, and deal falsely therein, and swear to a lie; in any of all these that a man doeth, sinning therein;
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 4] (5-23) then it shall be, if he hath sinned, and is guilty, that he shall restore that which he took by robbery, or the thing which he hath gotten by oppression, or the deposit which was deposited with him, or the lost thing which he found,
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 5] (5-24) or any thing about which he hath sworn falsely, he shall even restore it in full, and shall add the fifth part more thereto; unto him to whom it appertaineth shall he give it, in the day of his being guilty.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 6] (5-25) And he shall bring his forfeit unto the LORD, a ram without blemish out of the flock, according to thy valuation, for a guilt-offering, unto the priest.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 7] (5-26) And the priest shall make atonement for him before the LORD, and he shall be forgiven, concerning whatsoever he doeth so as to be guilty thereby.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 8] (6-1) And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 9] (6-2) Command Aaron and his sons, saying: This is the law of the burnt-offering: it is that which goeth up on its firewood upon the altar all night unto the morning; and the fire of the altar shall be kept burning thereby.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 10] (6-3) And the priest shall put on his linen garment, and his linen breeches shall he put upon his flesh; and he shall take up the ashes whereto the fire hath consumed the burnt-offering on the altar, and he shall put them beside the altar.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 11] (6-4) And he shall put off his garments, and put on other garments, and carry forth the ashes without the camp unto a clean place.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 12] (6-5) And the fire upon the altar shall be kept burning thereby, it shall not go out; and the priest shall kindle wood on it every morning; and he shall lay the burnt-offering in order upon it, and shall make smoke thereon the fat of the peace-offerings.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 13] (6-6) Fire shall be kept burning upon the altar continually; it shall not go out.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 14] (6-7) And this is the law of the meal-offering: the sons of Aaron shall offer it before the LORD, in front of the altar.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 15] (6-8) And he shall take up therefrom his handful, of the fine flour of the meal-offering, and of the oil thereof, and all the frankincense which is upon the meal-offering, and shall make the memorial-part thereof smoke upon the altar for a sweet savour unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 16] (6-9) And that which is left thereof shall Aaron and his sons eat; it shall be eaten without leaven in a holy place; in the court of the tent of meeting they shall eat it.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 17] (6-10) It shall not be baked with leaven. I have given it as their portion of My offerings made by fire; it is most holy, as the sin-offering, and as the guilt-offering.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 18] (6-11) Every male among the children of Aaron may eat of it, as a due for ever throughout your generations, from the offerings of the LORD made by fire; whatsoever toucheth them shall be holy.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 19] (6-12) And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 20] (6-13) This is the offering of Aaron and of his sons, which they shall offer unto the LORD in the day when he is anointed: the tenth part of an ephah of fine flour for a meal-offering perpetually, half of it in the morning, and half thereof in the evening.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 21] (6-14) On a griddle it shall be made with oil; when it is soaked, thou shalt bring it in; in broken pieces shalt thou offer the meal-offering for a sweet savour unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 22] (6-15) And the anointed priest that shall be in his stead from among his sons shall offer it, it is a due for ever; it shall be wholly made to smoke unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 6 | Verse 23] (6-16) And every meal-offering of the priest shall be wholly made to smoke; it shall not be eaten.
