[JPS | EN | OT | Leviticus | Chapter 27 | Verse 1] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 2] Speak unto the children of Israel, and say unto them: When a man shall clearly utter a vow of persons unto the LORD, according to thy valuation,
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 3] then thy valuation shall be for the male from twenty years old even unto sixty years old, even thy valuation shall be fifty shekels of silver, after the shekel of the sanctuary.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 4] And if it be a female, then thy valuation shall be thirty shekels.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 5] And if it be from five years old even unto twenty years old, then thy valuation shall be for the male twenty shekels, and for the female ten shekels.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 6] And if it be from a month old even unto five years old, then thy valuation shall be for the male five shekels of silver, and for the female thy valuation shall be three shekels of silver.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 7] And if it be from sixty years old and upward: if it be a male, then thy valuation shall be fifteen shekels, and for the female ten shekels.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 8] But if he be too poor for thy valuation, then he shall be set before the priest, and the priest shall value him; according to the means of him that vowed shall the priest value him.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 9] And if it be a beast, whereof men bring an offering unto the LORD, all that any man giveth of such unto the LORD shall be holy.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 10] He shall not alter it, nor change it, a good for a bad, or a bad for a good; and if he shall at all change beast for beast, then both it and that for which it is changed shall be holy.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 11] And if it be any unclean beast, of which they may not bring an offering unto the LORD, then he shall set the beast before the priest.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 12] And the priest shall value it, whether it be good or bad; as thou the priest valuest it, so shall it be.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 13] But if he will indeed redeem it, then he shall add the fifth part thereof unto thy valuation.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 14] And when a man shall sanctify his house to be holy unto the LORD, then the priest shall value it, whether it be good or bad; as the priest shall value it, so shall it stand.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 15] And if he that sanctified it will redeem his house, then he shall add the fifth part of the money of thy valuation unto it, and it shall be his.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 16] And if a man shall sanctify unto the LORD part of the field of his possession, then thy valuation shall be according to the sowing thereof; the sowing of a homer of barley shall be valued at fifty shekels of silver.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 17] If he sanctify his field from the year of jubilee, according to thy valuation it shall stand.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 18] But if he sanctify his field after the jubilee, then the priest shall reckon unto him the money according to the years that remain unto the year of jubilee, and an abatement shall be made from thy valuation.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 19] And if he that sanctified the field will indeed redeem it, then he shall add the fifth part of the money of thy valuation unto it, and it shall be assured to him.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 20] And if he will not redeem the field, or if he have sold the field to another man, it shall not be redeemed any more.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 21] But the field, when it goeth out in the jubilee, shall be holy unto the LORD, as a field devoted; the possession thereof shall be the priest's.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 22] And if he sanctify unto the LORD a field which he hath bought, which is not of the field of his possession;
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 23] then the priest shall reckon unto him the worth of thy valuation unto the year of jubilee; and he shall give thy valuation in that day, as a holy thing unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 24] In the year of jubilee the field shall return unto him of whom it was bought, even to him to whom the possession of the land belongeth.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 25] And all thy valuations shall be according to the shekel of the sanctuary; twenty gerahs shall be the shekel.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 26] Howbeit the firstling among beasts, which is born as a firstling to the LORD, no man shall sanctify it; whether it be ox or sheep, it is the LORD'S.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 27] And if it be of an unclean beast, then he shall ransom it according to thy valuation, and shall add unto it the fifth part thereof; or if it be not redeemed, then it shall be sold according to thy valuation.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 28] Notwithstanding, no devoted thing, that a man may devote unto the LORD of all that he hath, whether of man or beast, or of the field of his possession, shall be sold or redeemed; every devoted thing is most holy unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 29] None devoted, that may be devoted of men, shall be ransomed; he shall surely be put to death.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 30] And all the tithe of the land, whether of the seed of the land, or of the fruit of the tree, is the LORD'S; it is holy unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 31] And if a man will redeem aught of his tithe, he shall add unto it the fifth part thereof.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 32] And all the tithe of the herd or the flock, whatsoever passeth under the rod, the tenth shall be holy unto the LORD.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 33] He shall not inquire whether it be good or bad, neither shall he change it; and if he change it at all, then both it and that for which it is changed shall be holy; it shall not be redeemed.
[JPS | EN | OT | Leviticus | Chapter 27 | Verse 34] These are the commandments, which the LORD commanded Moses for the children of Israel in mount Sinai.
