[JPS | EN | OT | Leviticus | Chapter 4 | Verse 1] And the LORD spoke unto Moses, saying:
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 2] Speak unto the children of Israel, saying: If any one shall sin through error, in any of the things which the LORD hath commanded not to be done, and shall do any one of them:
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 3] if the anointed priest shall sin so as to bring guilt on the people, then let him offer for his sin, which he hath sinned, a young bullock without blemish unto the LORD for a sin-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 4] And he shall bring the bullock unto the door of the tent of meeting before the LORD; and he shall lay his hand upon the head of the bullock, and kill the bullock before the LORD.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 5] And the anointed priest shall take of the blood of the bullock, and bring it to the tent of meeting.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 6] And the priest shall dip his finger in the blood, and sprinkle of the blood seven times before the LORD, in front of the veil of the sanctuary.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 7] And the priest shall put of the blood upon the horns of the altar of sweet incense before the LORD, which is in the tent of meeting; and all the remaining blood of the bullock shall he pour out at the base of the altar of burnt-offering, which is at the door of the tent of meeting.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 8] And all the fat of the bullock of the sin-offering he shall take off from it; the fat that covereth the inwards, and all the fat that is upon the inwards,
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 9] and the two kidneys, and the fat that is upon them, which is by the loins, and the lobe above the liver, which he shall take away by the kidneys,
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 10] as it is taken off from the ox of the sacrifice of peace-offerings; and the priest shall make them smoke upon the altar of burnt-offering.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 11] But the skin of the bullock, and all its flesh, with its head, and with its legs, and its inwards, and its dung,
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 12] even the whole bullock shall he carry forth without the camp unto a clean place, where the ashes are poured out, and burn it on wood with fire; where the ashes are poured out shall it be burnt.
[JPS | EN | OT | Leviticus | Chapter 4 | Verse 13] And if the whole congregation of Israel shall err, the thing being hid from the eyes of the assembly, and do any of the things which the LORD hath commanded not to be done, and are guilty:
