[GNV | EN | OT | Genesis | Chapter 11 | Verse 1] Then the whole earth was of one language and one speache.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 2] And as they went from the East, they found a plaine in the land of Shinar, and there they abode.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 3] And they said one to another, Come, let vs make bricke, and burne it in the fire. So they had bricke for stone, and slime had they in steade of morter.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 4] Also they said, Goe to, let vs builde vs a citie and a towre, whose top may reache vnto the heauen, that we may get vs a name, lest we be scattered vpon the whole earth.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 5] But the Lord came downe, to see the citie and towre, which the sonnes of men builded.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 6] And the Lord said, Beholde, the people is one, and they all haue one language, and this they begin to doe, neither can they now be stopped from whatsoeuer they haue imagined to do.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 7] Come on, let vs goe downe, and there confound their language, that euery one perceiue not anothers speache.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 8] So ye Lord scattered them from thence vpon all the earth, and they left off to build the citie.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 9] Therefore the name of it was called Babel, because the Lord did there confounde the language of all the earth: from thence then did the Lord scatter them vpon all the earth.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 10] These are the generations of Shem: Shem was an hundreth yeere olde, and begate Arpachshad two yeere after the flood.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 11] And Shem liued, after he begate Arpachshad, fiue hundreth yeeres, and begate sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 12] Also Arpachshad liued fiue and thirtie yeeres, and begate Shelah.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 13] And Arpachshad liued, after he begate Shelah, foure hundreth and three yeeres, and begate sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 14] And Shelah liued thirtie yeeres, and begat Eber.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 15] So Shelah liued, after he begat Eber, foure hundreth and three yeeres, and begat sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 16] Likewise Eber liued foure and thirtie yeres, and begate Peleg.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 17] So Eber liued, after he begate Peleg, foure hundreth and thirtie yeeres, and begate sonnes and daughters
[GNV | EN | OT | Genesis | Chapter 11 | Verse 18] And Peleg liued thirtie yeeres, and begate Reu.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 19] And Peleg liued, after he begate Reu, two hundreth and nine yeeres, and begate sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 20] Also Reu liued two and thirtie yeeres, and begate Serug.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 21] So Reu liued, after he begate Serug, two hundreth and seuen yeeres, and begate sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 22] Moreouer Serug liued thirtie yeeres, and begate Nahor.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 23] And Serug liued, after he begate Nahor, two hundreth yeeres, and begate sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 24] And Nahor liued nine and twentie yeeres, and begate Terah.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 25] So Nahor liued, after he begate Terah, an hundreth and nineteene yeeres, and begat sonnes and daughters.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 26] So Terah liued seuentie yeeres, and begate Abram, Nahor, and Haran.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 27] Nowe these are the generations of Terah: Terah begate Abram, Nahor, and Haran: and Haran begate Lot.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 28] Then Haran died before Terah his father in the land of his natiuitie, in Vr of the Caldees.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 29] So Abram and Nahor tooke them wiues. The name of Abrams wife was Sarai, and the name of Nahors wife Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 30] But Sarai was barren, and had no childe.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 31] Then Terah tooke Abram his sonne, and Lot the sonne of Haran, his sonnes sonne, and Sarai his daughter in lawe, his sonne Abrams wife: and they departed together from Vr of the Caldees, to goe into the land of Canaan, and they came to Haran, and dwelt there.
[GNV | EN | OT | Genesis | Chapter 11 | Verse 32] So the dayes of Terah were two hundreth and fiue yeeres, and Terah died in Haran.
