[GNV | EN | OT | Genesis | Chapter 18 | Verse 1] Againe the Lord appeared vnto him in the plaine of Mamre, as he sate in his tent doore about the heate of the day.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 2] And he lift vp his eyes, and looked: and lo, three men stoode by him, and when he sawe them, he ranne to meete them from the tent doore, and bowed himselfe to the grounde.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 3] And he said, Lord, if I haue now founde fauour in thy sight, goe not, I pray thee, from thy seruant.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 4] Let a litle water, I pray you, be brought, and wash your feete, and rest your selues vnder the tree.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 5] And I will bring a morsell of bread, that you may comfort your hearts, afterward ye shall go your wayes: for therefore are ye come to your seruant. And they said, Do euen as thou hast said.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 6] Then Abraham made haste into the tent vnto Sarah, and saide, Make ready at once three measures of fine meale: kneade it, and make cakes vpon the hearth.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 7] And Abraham ranne to the beastes, and tooke a tender and good calfe, and gaue it to the seruant, who hasted to make it ready.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 8] And he tooke butter and milke, and the calfe, which he had prepared, and set before them, and stoode himselfe by them vnder the tree, and they did eate.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 9] Then they saide to him, Where is Sarah thy wife? And he answered, Beholde, she is in the tent.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 10] And he saide, I will certainely come againe vnto thee according to ye time of life: and loe, Sarah thy wife shall haue a sonne. and Sarah heard in the tent doore, which was behinde him.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 11] (Nowe Abraham and Sarah were old and striken in age, and it ceased to be with Sarah after the maner of women)
[GNV | EN | OT | Genesis | Chapter 18 | Verse 12] Therefore Sarah laughed within her selfe, saying, After I am waxed olde, and my lord also, shall I haue lust?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 13] And ye Lord saide vnto Abraham, Wherefore did Sarah thus laugh, saying, Shall I certainely beare a childe, which am olde?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 14] (Shall any thing be hard to the Lord? at the time appointed will I returne vnto thee, euen according to the time of life, and Sarah shall haue a sonne.)
[GNV | EN | OT | Genesis | Chapter 18 | Verse 15] But Sarah denied, saying, I laughed not: for she was afraide. And he said, It is not so: for thou laughedst.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 16] Afterwarde the men did rise vp from thence and looked toward Sodom: and Abraham went with them to bring them on the way.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 17] And the Lord said, Shall I hide from Abraham that thing which I doe,
[GNV | EN | OT | Genesis | Chapter 18 | Verse 18] Seeing that Abraham shalbe in deede a great and a mightie nation, and all the nations of the earth shalbe blessed in him?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 19] For I knowe him that he will commande his sonnes and his houshold after him, that they keepe the way of the Lord, to doe righteousnesse and iudgement, that the Lord may bring vpon Abraham that he hath spoken vnto him.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 20] Then the Lord saide, Because the crie of Sodom and Gomorah is great, and because their sinne is exceeding grieuous,
[GNV | EN | OT | Genesis | Chapter 18 | Verse 21] I will goe downe nowe, and see whether they haue done altogether according to that crie which is come vnto me: and if not, that I may knowe.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 22] And the men turned thence and went toward Sodom: but Abraham stoode yet before the Lord.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 23] Then Abraham drewe neere, and said, Wilt thou also destroy the righteous with the wicked?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 24] If there be fiftie righteous within the citie, wilt thou destroy and not spare the place for the fiftie righteous that are therein?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 25] Be it farre from thee from doing this thing, to slay the righteous with the wicked: and that the righteous should be euen as the wicked, be it farre from thee. shall not the Iudge of all the worlde doe right?
[GNV | EN | OT | Genesis | Chapter 18 | Verse 26] And the Lord answered, If I shall finde in Sodom fiftie righteous within the citie, then will I spare all the place for their sakes.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 27] Then Abraham answered and said, Behold nowe, I haue begun to speake vnto my Lord, and I am but dust and ashes.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 28] If there shall lacke fiue of fiftie righteous, wilt thou destroy all the citie for fiue? And he saide, If I finde there fiue and fourtie, I will not destroy it.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 29] And he yet spake to him againe, and saide, What if there shalbe found fourtie there? Then he answered, I will not doe it for fourties sake.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 30] Againe he said, Let not my Lord nowe be angry, that I speake, What if thirtie be founde there? Then he saide, I will not doe it, if I finde thirtie there.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 31] Moreouer he said, Behold, now I haue begonne to speake vnto my Lord, What if twentie be founde there? And he answered, I will not destroy it for twenties sake.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 32] Then he saide, Let not my Lord be nowe angrie, and I will speake but this once, What if tenne be found there? And he answered, I will not destroy it for tennes sake.
[GNV | EN | OT | Genesis | Chapter 18 | Verse 33] And the Lord went his way when he had left communing with Abraham, and Abraham returned vnto his place.
