[GNV | EN | OT | Genesis | Chapter 29 | Verse 1] Then Iaakob lift vp his feete and came into the East countrey.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 2] And as he looked about, behold there was a well in the field, and lo, three flocks of sheepe lay thereby (for at that well were the flockes watered) and there was a great stone vpon the welles mouth.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 3] And thither were all the flockes gathered, and they rolled the stone from the welles mouth, and watered the sheepe, and put the stone againe vpon the welles mouth in his place.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 4] And Iaakob sayde vnto them, My brethren, whence be ye? And they answered, We are of Haran.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 5] Then he sayd vnto them, Know ye Laban the sonne of Nahor? Who said, We know him.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 6] Againe he sayd vnto them, Is he in good health? And they answered, He is in good health, and beholde, his daughter Rahel commeth with the sheepe.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 7] Then he sayd, Lo, it is yet hie day, neither is it time that the cattell shoulde be gathered together: water ye the sheepe and go feede them.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 8] But they sayde, We may not vntill all the flocks be brought together, and till men rolle the stone from the welles mouth, that we may water the sheepe.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 9] While he talked with them, Rahel also came with her fathers sheepe, for she kept them.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 10] And assoone as Iaakob saw Rahel ye daughter of Laban his mothers brother, and the sheepe of Laban his mothers brother, then came Iaakob neere, and rolled the stone from the welles mouth, and watered ye flocke of Laban his mothers brother.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 11] And Iaakob kissed Rahel, and lift vp his voyce and wept.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 12] (For Iaakob tolde Rahel, that he was her fathers brother, and that he was Rebekahs sonne) then she ranne and tolde her father.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 13] And when Laban heard tell of Iaakob his sisters sonne, he ranne to meete him, and embraced him and kissed him, and brought him to his house: and he tolde Laban all these things.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 14] To whome Laban sayd, Well, thou art my bone and my flesh. and he abode with him the space of a moneth.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 15] For Laban sayde vnto Iaakob, Though thou be my brother, shouldest thou therfore serue me for nought? tell me, what shalbe thy wages?
[GNV | EN | OT | Genesis | Chapter 29 | Verse 16] Now Laban had two daughters, the elder called Leah, and the yonger called Rahel.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 17] And Leah was tender eyed, but Rahel was beautifull and faire.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 18] And Iaakob loued Rahel, and sayde, I will serue thee seuen yeeres for Rahel thy yonger daughter.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 19] Then Laban answered, It is better that I giue her thee, then that I should giue her to another man: abide with me.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 20] And Iaakob serued seuen yeres for Rahel, and they seemed vnto him but a few dayes, because he loued her.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 21] Then Iaakob sayde to Laban, Giue me my wife, that I may goe in to her: for my terme is ended.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 22] Wherefore Laban gathered together all the men of the place, and made a feast.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 23] But whe the euening was come, he tooke Leah his daughter and brought her to him, and he went in vnto her.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 24] And Laban gaue his mayde Zilpah to his daughter Leah, to be her seruant.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 25] But when the morning was come, behold, it was Leah. Then sayde he to Laban, Wherefore hast thou done thus to mee? did not I serue thee for Rahel? wherfore then hast thou beguiled me?
[GNV | EN | OT | Genesis | Chapter 29 | Verse 26] And Laban answered, It is not the maner of this place, to giue the yonger before the elder.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 27] Fulfill seuen yeeres for her, and we wil also giue thee this for the seruice, which thou shalt serue me yet seuen yeeres more.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 28] Then Iaakob did so, and fulfilled her seuen yeeres, so he gaue him Rahel his daughter to be his wife.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 29] Laban also gaue to Rahel his daughter Bilhah his mayde to be her seruant.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 30] So entred he in to Rahel also, and loued also Rahel more then Leah, and serued him yet seuen yeeres more.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 31] When the Lord saw that Leah was despised, he made her fruitful: but Rahel was barren.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 32] And Leah conceiued and bare a sonne, and she called his name Reuben: for she said, Because the Lord hath looked vpon my tribulation, now therefore mine husband will loue me.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 33] And she conceiued againe and bare a sonne, and sayde, Because the Lord heard that I was hated, he hath therefore giuen me this sonne also, and she called his name Simeon.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 34] And she conceiued againe and bare a sonne, and said, Now at this time wil my husband keepe mee company, because I haue borne him three sonnes: therefore was his name called Leui.
[GNV | EN | OT | Genesis | Chapter 29 | Verse 35] Moreouer shee conceiued againe and bare a sonne, saying, Nowe will I prayse the Lord: therefore shee called his name Iudah, and left bearing.
