[GNV | EN | OT | Genesis | Chapter 36 | Verse 1] Nowe these are the generations of Esau, which is Edom.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 2] Esau tooke his wiues of the daughters of Canaan: Adah the daughter of Elon an Hittite, and Aholibamah the daughter of Anah, the daughter of Zibeon an Hiuite,
[GNV | EN | OT | Genesis | Chapter 36 | Verse 3] And tooke Basemath Ishmaels daughter, sister of Nebaioth.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 4] And Adah bare vnto Esau, Eliphaz: and Basemath bare Reuel.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 5] Also Aholibamah bare Ieush, and Iaalam, and Korah: these are the sonnes of Esau which were borne to him in the land of Canaan.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 6] So Esau tooke his wiues and his sonnes, and his daughters, and all the soules of his house, and his flocks, and all his cattell, and all his substance, which he had gotten in the land of Canaan, and went into an other countrey from his brother Iaakob.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 7] For their riches were so great, that they could not dwell together, and the lande, wherein they were strangers, coulde not receiue them because of their flockes.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 8] Therefore dwelt Esau in mount Seir: this Esau is Edom.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 9] So these are the generations of Esau father of Edom in mount Seir.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 10] These are the names of Esaus sonnes: Eliphaz, the sonne of Adah, the wife of Esau, and Reuel the sonne of Bashemath, the wife of Esau.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 11] And the sonnes of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 12] And Timna was concubine to Eliphaz Esaus sonne, and bare vnto Eliphaz, Amalek: these be the sonnes of Adah Esaus wife.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 13] And these are the sonnes of Reuel: Nahath, and Zerah, Shammah, and Mizzah: these were the sonnes of Bashemath Esaus wife.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 14] And these were the sonnes of Aholibamah the daughter of Anah, daughter of Zibeon Esaus wife: for she bare vnto Esau, Ieush, and Iaalam, and Korah.
[GNV | EN | OT | Genesis | Chapter 36 | Verse 15] These were Dukes of the sonnes of Esau: the sonnes of Eliphaz, the first borne of Esau: Duke Teman, Duke Omar, Duke Zepho, Duke Kenaz,
[GNV | EN | OT | Genesis | Chapter 36 | Verse 16] Duke Korah, Duke Gatam, Duke Amalek: these are the Dukes that came of Eliphaz in the land of Edom: these were the sonnes of Adah.
