[GNV | EN | OT | Genesis | Chapter 4 | Verse 1] Afterward the man knew Heuah his wife, which conceiued and bare Kain, and said, I haue obteined a man by the Lord.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 2] And againe she brought foorth his brother Habel, and Habel was a keeper of sheepe, and Kain was a tiller of the ground.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 3] And in processe of time it came to passe, that Kain brought an oblation vnto the Lord of the fruite of the ground.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 4] And Habel also him selfe brought of the first fruites of his sheepe, and of the fat of them, and the Lord had respect vnto Habel, and to his offering,
[GNV | EN | OT | Genesis | Chapter 4 | Verse 5] But vnto Kain and to his offering he had no regarde: wherefore Kain was exceeding wroth, and his countenance fell downe.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 6] Then ye Lord said vnto Kain, Why art thou wroth? and why is thy countenance cast downe?
[GNV | EN | OT | Genesis | Chapter 4 | Verse 7] If thou do well, shalt thou not be accepted? and if thou doest not well, sinne lieth at the doore: also vnto thee his desire shalbe subiect, and thou shalt rule ouer him.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 8] Then Kain spake to Habel his brother. And when they were in the fielde, Kain rose vp against Habel his brother, and slewe him.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 9] Then the Lord said vnto Kain, Where is Habel thy brother? Who answered, I cannot tell. Am I my brothers keeper?
[GNV | EN | OT | Genesis | Chapter 4 | Verse 10] Againe he said, What hast thou done? the voyce of thy brothers blood cryeth vnto me from the earth.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 11] Now therefore thou art cursed from the earth, which hath opened her mouth to receiue thy brothers blood from thine hand.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 12] When thou shalt till the grounde, it shall not henceforth yeelde vnto thee her strength: a vagabond and a runnagate shalt thou be in the earth.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 13] Then Kain said to the Lord, My punishment is greater, then I can beare.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 14] Behold, thou hast cast me out this day from the earth, and from thy face shall I be hid, and shalbe a vagabond, and a runnagate in the earth, and whosoeuer findeth me, shall slay me.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 15] Then the Lord said vnto him, Doubtlesse whosoeuer slayeth Kain, he shalbe punished seue folde. And the Lord set a marke vpon Kain, lest any man finding him should kill him.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 16] Then Kain went out from the presence of the Lord, and dwelt in the land of Nod towarde the Eastside of Eden.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 17] Kain also knewe his wife, which conceiued and bare Henoch: and he built a citie, and called the name of the citie by ye name of his sonne, Henoch.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 18] And to Henoch was borne Irad, and Irad begate Mehuiael, and Mehuiael begate Methushael, and Methushael begate Lamech.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 19] And Lamech tooke him two wiues: the name of the one was Adah, and the name of the other Zillah.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 20] And Adah bare Iabal, who was the father of such as dwell in the tents, and of such as haue cattell.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 21] And his brothers name was Iubal, who was the father of all that play on the harpe and organes.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 22] And Zillah also bare Tubal-kain, who wrought cunningly euery craft of brasse and of yron: and the sister of Tubal-kain was Naamah.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 23] Then Lamech saide vnto his wiues Adah and Zillah, Heare my voyce, ye wiues of Lamech: hearken vnto my speach: for I would slay a man in my wound, and a yong man in mine hurt.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 24] If Kain shalbe auenged seuen folde, truely Lamech, seuentie times seuen folde.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 25] And Adam knewe his wife againe, and she bare a sonne, and she called his name Sheth: for God, saide she, hath appointed me another seede for Habel, because Kain slewe him.
[GNV | EN | OT | Genesis | Chapter 4 | Verse 26] And to ye same Sheth also there was borne a sonne, and he called his name Enosh. Then beganne men to call vpon the name of the Lord.
