[GNV | EN | OT | Genesis | Chapter 7 | Verse 1] And the Lord said vnto Noah, Enter thou and all thine house into the Arke: for thee haue I seene righteous before me in this age.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 2] Of euery cleane beast thou shalt take to thee by seuens, the male and his female: but of vncleane beastes by couples, the male and his female.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 3] Of the foules also of the heauen by seuens, male and female, to keepe seede aliue vpon the whole earth.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 4] For seuen dayes hence I will cause it raine vpon the earth fourtie dayes and fourtie nightes, and all the substance that I haue made, will I destroy from off the earth.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 5] Noah therefore did according vnto all that the Lord commanded him.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 6] And Noah was sixe hundreth yeeres olde, when the flood of waters was vpon the earth.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 7] So Noah entred and his sonnes, and his wife, and his sonnes wiues with him into the Arke, because of the waters of the flood.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 8] Of the cleane beastes, and of the vncleane beastes, and of the foules, and of all that creepeth vpon the earth,
[GNV | EN | OT | Genesis | Chapter 7 | Verse 9] There came two and two vnto Noah into the Arke, male and female, as God had commanded Noah.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 10] And so after seuen dayes the waters of the flood were vpon the earth.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 11] In the sixe hundreth yeere of Noahs life in the second moneth, the seuetenth day of the moneth, in the same day were all the fountaines of the great deepe broken vp, and the windowes of heauen were opened,
[GNV | EN | OT | Genesis | Chapter 7 | Verse 12] And the raine was vpon the earth fourtie dayes and fourtie nightes.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 13] In the selfe same day entred Noah with Shem, and Ham and Iapheth, the sonnes of Noah, and Noahs wife, and the three wiues of his sonnes with them into the Arke.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 14] They and euery beast after his kinde, and all cattell after their kinde, and euery thing that creepeth and moueth vpon the earth after his kinde, and euery foule after his kinde, euen euery bird of euery fether.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 15] For they came to Noah into ye Arke, two and two, of all flesh wherein is ye breath of life.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 16] And they entring in, came male and female of all flesh, as God had commanded him: and the Lord shut him in.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 17] Then ye flood was fourtie dayes vpon the earth, and the waters were increased, and bare vp the Arke, which was lift vp aboue the earth.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 18] The waters also waxed strong, and were increased exceedingly vpon the earth, and the Arke went vpon the waters.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 19] The waters preuailed so exceedingly vpon the earth, that all the high mountaines, that are vnder the whole heauen, were couered.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 20] Fifteene cubites vpwarde did the waters preuaile, when the mountaines were couered.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 21] Then all flesh perished that moued vpon the earth, both foule and cattell and beast, and euery thing that creepeth and moueth vpon the earth, and euery man.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 22] Euery thing in whose nostrels the spirit of life did breathe, whatsoeuer they were in the drie land, they died.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 23] So he destroyed euery thing that was vpon the earth, from man to beast, to ye creeping thing, and to the foule of the heauen: they were euen destroyed from the earth. And Noah onely remained; and they that were with him in ye Arke.
[GNV | EN | OT | Genesis | Chapter 7 | Verse 24] And the waters preuailed vpon the earth an hundreth and fiftie dayes.
