[GNV | EN | OT | Genesis | Chapter 10 | Verse 1] Now these are the generations of the sonnes of Noah, Shem, Ham and Iapheth: vnto whom sonnes were borne after the flood.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 2] The sonnes of Iapheth were Gomer and Magog, and Madai, and Iauan, and Tubal, and Meshech, and Tiras.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 3] And the sonnes of Gomer, Ashkenaz, and Riphath, and Togarmah.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 4] Also the sonnes of Iauan, Elishah and Tarshish, Kittim, and Dodanim.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 5] Of these were the yles of the Gentiles deuided in their landes, euery man after his tongue, and after their families in their nations.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 6] Moreouer, ye sonnes of Ham were Cush, and Mizraim, and Put, and Canaan.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 7] And the sonnes of Cush, Seba and Hauilah, and Sabtah, and Raamah, and Sabtecha: also the sonnes of Raamah were Sheba and Dedan.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush begate Nimrod, who began to be mightie in the earth.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 9] He was a mightie hunter before the Lord. wherefore it is saide, As Nimrod the mightie hunter before the Lord.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 10] And the beginning of his kingdome was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 11] Out of that land came Asshur, and builded Niniueh, and the citie Rehoboth, and Calah:
[GNV | EN | OT | Genesis | Chapter 10 | Verse 12] Resen also betweene Niniueh and Calah: this is a great citie.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 13] And Mizraim begate Ludim, and Anamim, and Lehabim, and Naphtuhim.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 14] Pathrusim also, and Casluhim (out of whom came the Philistims) and Caphtorims.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 15] Also Canaan begat Zidon his first borne, and Heth,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 16] And Iebusi, and Emori, and Girgashi,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 17] And Hiui, and Arki, and Sini,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 18] And Aruadi, and Zemari, and Hamathi: and afterwarde were the families of the Canaanites spred abroade.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 19] Then the border of the Canaanites was from Zidon, as thou commest to Gerar vntil Azzah, and as thou goest vnto Sodom, and Gomorah, and Admah, and Zeboijm, euen vnto Lasha.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 20] These are the sonnes of Ham according to their families, according to their tongues in their countries and in their nations.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 21] Vnto Shem also the father of all the sonnes of Eber, and elder brother of Iapheth were children borne.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 22] The sonnes of Shem were Elam and Asshur, and Arpachshad, and Lud, and Aram.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 23] And the sonnes of Aram, Vz and Hul, and Gether and Mash.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 24] Also Arpachshad begate Shelah, and Shelah begate Eber.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 25] Vnto Eber also were borne two sonnes: the name of the one was Peleg: for in his dayes was the earth diuided: and his brothers name was Ioktan.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 26] Then Ioktan begate Almodad and Sheleph, and Hazarmaueth, and Ierah,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 27] And Hadoram, and Vzal, and Dicklah,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 28] And Obal, and Abimael, and Sheba,
[GNV | EN | OT | Genesis | Chapter 10 | Verse 29] And Ophir, and Hauilah, and Iobab: all these were the sonnes of Ioktan.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 30] And their dwelling was from Mesha, as thou goest vnto Sephar a mount of the East.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 31] These are the sonnes of Shem according to their families, according to their tongues, in their countreis and nations.
[GNV | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of the sonnes of Noah, after their generations among their people: and out of these were the nations diuided in the earth after the flood.
