[GNV | EN | OT | Genesis | Chapter 24 | Verse 1] Nowe Abraham was olde, and striken in yeeres, and the Lord had blessed Abraham in all things.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 2] Therefore Abraham saide vnto his eldest seruant of his house, which had the rule ouer all that he had, Put nowe thine hand vnder my thigh,
[GNV | EN | OT | Genesis | Chapter 24 | Verse 3] And I will make thee sweare by ye Lord God of the heauen, and God of the earth, that thou shalt not take a wife vnto my sonne of the daughters of the Canaanites among who I dwel.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 4] But thou shalt go vnto my countrey, and to my kinred, and take a wife vnto my sone Izhak.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 5] And the seruant saide to him, What if the woman will not come with me to this land? shall I bring thy sonne againe vnto the lande from whence thou camest?
[GNV | EN | OT | Genesis | Chapter 24 | Verse 6] To whom Abraham answered, Beware that thou bring not my sonne thither againe.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 7] The Lord God of heauen, who tooke me from my fathers house, and from the land where I was borne, and that spake vnto me, and that sware vnto me, saying, Vnto thy seede wil I giue this land, he shall send his Angel before thee, and thou shalt take a wife vnto my sonne from thence.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 8] Neuertheles if the woman wil not follow thee, then shalt thou bee discharged of this mine othe: onely bring not my sonne thither againe.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 9] Then the seruant put his hand vnder the thigh of Abraham his master, and sware to him for this matter.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 10] So the seruant tooke ten camels of the camels of his master, and departed: (for he had all his masters goods in his hand:) and so he arose, and went to Aram Naharaim, vnto the citie of Nahor.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 11] And he made his camels to lye downe without the citie by a well of water, at euentide about the time that the women come out to draw water.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 12] And he said, O Lord God of my master Abraham, I beseech thee, send me good speede this day, and shew mercy vnto my master Abraham.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 13] Lo, I stand by the well of water, whiles the mens daughters of this citie come out to drawe water.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 14] Graunt therefore that ye maide, to whom I say, Bowe downe thy pitcher, I pray thee, that I may drinke: if she say, Drinke, and I will giue thy camels drinke also: may be she that thou hast ordeined for thy seruant Izhak: and thereby shall I know that thou hast shewed mercy on my master.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 15] And nowe yer he had left speaking, beholde, Rebekah came out, the daughter of Bethuel, sonne of Milcah the wife of Nahor Abrahams brother, and her pitcher vpon her shoulder.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 16] (And the maide was very faire to looke vpon, a virgine and vnknowen of man) and she went downe to the well, and filled her pitcher, and came vp.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 17] Then the seruant ranne to meete her, and said, Let me drinke, I pray thee, a litle water of thy pitcher.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 18] And she said, Drinke sir: and she hasted, and let downe her pitcher vpon her hand and gaue him drinke.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 19] And when she had giuen him drinke, she said, I will drawe water for thy camels also vntill they haue drunken inough.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 20] And she powred out her pitcher into the trough speedily; and ranne againe vnto the well to drawe water, and she drewe for all his camels.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 21] So the man wondred at her, and helde his peace, to knowe whether the Lord had made his iourney prosperous or not.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 22] And when the camels had left drinking, the man tooke a golden abillement of halfe a shekell weight, and two bracelets for her hands, of ten shekels weight of golde:
[GNV | EN | OT | Genesis | Chapter 24 | Verse 23] And he said, Whose daughter art thou? tell me, I pray thee, Is there roume in thy fathers house for vs to lodge in?
[GNV | EN | OT | Genesis | Chapter 24 | Verse 24] Then she said to him, I am the daughter of Bethuel the sonne of Milcah whom she bare vnto Nahor.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 25] Moreouer she said vnto him, We haue litter also and prouender ynough, and roume to lodge in.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 26] And the man bowed himselfe and worshipped the Lord,
[GNV | EN | OT | Genesis | Chapter 24 | Verse 27] And said, Blessed be the Lord God of my master Abraham, which hath not withdrawen his mercie and his trueth from my master: for when I was in the way, the Lord brought me to my masters brethrens house.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 28] And the maide ranne and tolde them of her mothers house according to these wordes.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 29] Now Rebekah had a brother called Laban, and Laban ranne vnto the man to the well.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 30] For when he had seene the earings and the bracelets in his sisters hands, and when he heard the wordes of Rebekah his sister, saying, Thus said the man vnto me, then he went to the man, and loe, he stoode by the camels at the well.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 31] And he saide, Come in thou blessed of the Lord: wherefore standest thou without, seeing I haue prepared the house, and roume for ye camels?
[GNV | EN | OT | Genesis | Chapter 24 | Verse 32] Then the man came into the house, and he vnsadled the camels, and brought litter and prouender for the camels, and water to wash his feete, and the mens feete that were with him.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 33] Afterward the meate was set before him: but he saide, I will not eate, vntill I haue saide my message: And he said, Speake on.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 34] Then he said, I am Abrahams seruant,
[GNV | EN | OT | Genesis | Chapter 24 | Verse 35] And the Lord hath blessed my master wonderfully, that he is become great: for he hath giuen him sheepe, and beeues, and siluer, and golde, and men seruants, and maide seruants, and camels, and asses.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 36] And Sarah my masters wife hath borne a sonne to my master, when she was olde, and vnto him hath he giuen all that he hath.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 37] Now my master made me sweare, saying, Thou shalt not take a wife to my sonne of the daughters of the Canaanites, in whose land I dwell:
[GNV | EN | OT | Genesis | Chapter 24 | Verse 38] But thou shalt go vnto my fathers house and to my kinred, and take a wife vnto my sonne.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 39] Then I saide vnto my master, What if the woman will not follow me?
[GNV | EN | OT | Genesis | Chapter 24 | Verse 40] Who answered me, The Lord, before who I walke, will send his Angel with thee, and prosper thy iourney, and thou shalt take a wife for my sonne of my kinred and my fathers house.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 41] Then shalt thou be discharged of mine othe, when thou commest to my kinred: and if they giue thee not one, thou shalt be free from mine othe.
[GNV | EN | OT | Genesis | Chapter 24 | Verse 42] So I came this day to the well, and said, O Lord, the God of my master Abraham, if thou nowe prosper my iourney which I goe,
[GNV | EN | OT | Genesis | Chapter 24 | Verse 43] Behold, I stand by the well of water: when a virgine commeth forth to drawe water, and I say to her, Giue me, I pray thee, a litle water of thy pitcher to drinke,
[GNV | EN | OT | Genesis | Chapter 24 | Verse 44] And she say to me, Drinke thou, and I will also drawe for thy camels, let her be ye wife, which the Lord hath prepared for my masters sonne.
