[LXX | EL | OT | Leviticus | Chapter 16 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, μετὰ τὸ τελευτῆσαι τοὺς δύο υἱοὺς Ἀαρὼν ἐν τῷ προσάγειν αὐτοὺς πῦρ ἀλλότριον ἔναντι Κυρίου, καὶ ἐτελεύτησαν.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 2] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, λάλησον πρὸς Ἀαρὼν τὸν ἀδελφόν σου, καὶ μὴ εἰσπορευέσθω πᾶσαν ὥραν εἰς τὸ ἅγιον ἐσώτερον τοῦ καταπετάσματος εἰς πρόσωπον τοῦ ἱλαστηρίου, ὅ ἐστιν ἐπὶ τῆς κιβωτοῦ τοῦ μαρτυρίου, καὶ οὐκ ἀποθανεῖται· ἐν γὰρ νεφέλῃ ὀφθήσομαι ἐπὶ τοῦ ἱλαστηρίου.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 3] Οὕτως εἰσελεύσεται Ἀαρὼν εἰς τὸ ἅγιον· ἐν μόσχῳ ἐκ βοῶν περὶ ἁμαρτίας, καὶ κριὸν εἰς ὁλοκαύτωμα.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 4] Καὶ χιτῶνα λινοῦν ἡγιασμένον ἐνδύσεται, καὶ περισκελὲς λινοῦν ἔσται ἐπὶ τοῦ χρωτὸς αὐτοῦ, καὶ ζώνῃ λινῇ ζώσεται, καὶ κίδαριν λινῆν περιθήσεται, ἱμάτια ἅγιά ἐστι· καὶ λούσεται ὕδατι πᾶν τὸ σῶμα αὐτοῦ καὶ ἐνδύσεται αὐτά.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 5] Καὶ παρὰ τῆς συναγωγῆς τῶν υἱῶν Ἰσραὴλ λήψεται δύο χιμάρους ἐξ αἰγῶν περὶ ἁμαρτίας, καὶ κριὸν ἕνα εἰς ὁλοκαύτωμα.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 6] Καὶ προσάξει Ἀαρὼν τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας αὐτοῦ, καὶ ἐξιλάσεται περὶ αὐτοῦ, καὶ τοῦ οἴκου αὐτοῦ.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 7] Καὶ λήψεται τοὺς δύο χιμάρους, καὶ στήσει αὐτοὺς ἔναντι Κυρίου παρὰ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 8] Καὶ ἐπιθήσει Ἀαρὼν ἐπὶ τοὺς δύο χιμάρους κλῆρους· κλῆρον ἕνα τῷ Κυρίῳ, καὶ κλῆρον ἕνα τῷ ἀποπομπαίῳ.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 9] Καὶ προσάξει Ἀαρὼν τὸν χίμαρον ἐφʼ ὃν ἐπῆλθεν ἐπʼ αὐτὸν ὁ κλῆρος τῷ Κυρίῳ, καὶ προσοίσει περὶ ἁμαρτίας.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 10] Καὶ τὸν χίμαρον, ἐφʼ ὃν ἐπῆλθεν ἐπʼ αὐτὸν ὁ κλῆρος τοῦ ἀποπομπαίου, στήσει αὐτὸν ζῶντα ἔναντι Κυρίου, τοῦ ἐξιλάσασθαι ἐπʼ αὐτοῦ, ὥστε ἀποστεῖλαι αὐτὸν εἰς τὴν ἀποπομπήν, καὶ ἀφήσει αὐτὸν εἰς τὴν ἔρημον.
[LXX | EL | OT | Leviticus | Chapter 16 | Verse 11] Καὶ προσάξει Ἀαρὼν τὸν μόσχον τὸν περὶ τῆς ἁμαρτίας αὑτοῦ, καὶ ἐξιλάσεται περὶ ἑαυτοῦ, καὶ τοῦ οἴκου· καὶ σφάξει τὸν μόσχον περὶ τῆς ἁμαρτίας αὐτοῦ.
