[LXX | EL | OT | Leviticus | Chapter 1 | Verse 1] ΚΑΙ ἀνεκάλεσε Μωυσῆν, καὶ ἐλάλησε Κύριος αὐτῷ ἐκ τῆς σκηνῆς τοῦ μαρτυρίου, λέγων,
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 2] λάλησον τοῖς υἱοῖς Ἰσραὴλ, καὶ ἐρεῖς πρὸς αὐτοὺς, ἄνθρωπος ἐξ ὑμῶν ἐὰν προσαγάγῃ δῶρα τῷ Κυρίῳ, ἀπὸ τῶν κτηνῶν καὶ ἀπὸ τῶν βοῶν καὶ ἀπὸ τῶν προβάτων προσοίσετε τὰ δῶρα ὑμῶν.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 3] Ἐὰν ὁλοκαύτωμα τὸ δῶρον αὐτοῦ, ἐκ τῶν βοῶν ἄρσεν ἄμωμον προσάξει πρὸς τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου, προσοίσει αὐτὸ δεκτὸν ἐναντίον Κυρίου.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 4] Καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν τοῦ καρπώματος δεκτὸν αὐτῷ, ἐξιλάσασθαι περὶ αὐτοῦ.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 5] Καὶ σφάξουσι τὸν μόσχον ἔναντι Κυρίου· καὶ προσοίσουσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα, καὶ προσχεοῦσι τὸ αἷμα ἐπὶ τὸ θυσιαστήριον κύκλῳ τὸ ἐπὶ τῶν θυρῶν τῆς σκηνῆς τοῦ μαρτυρίου·
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 6] καὶ ἐκδείραντες τὸ ὁλοκαύτωμα, μελιοῦσιν αὐτὸ κατὰ μέλη.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 7] Καὶ ἐπιθήσουσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς πῦρ ἐπὶ τὸ θυσιαστήριον, καὶ ἐπιστοιβάσουσι ξύλα ἐπὶ τὸ πῦρ.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 8] Καὶ ἐπιστοιβάσουσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὰ διχοτομήματα, καὶ τὴν κεφαλὴν, καὶ τὸ στέαρ ἐπὶ τὰ ξύλα τὰ ἐπὶ τοῦ πυρὸς τὰ ὄντα ἐπὶ τοῦ θυσιαστηρίου.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 9] Τὰ δὲ ἐγκοίλια καὶ τοὺς πόδας πλυνοῦσιν ὕδατι· καὶ ἐπιθήσουσιν οἱ ἱερεῖς τὰ πάντα ἐπὶ τὸ θυσιαστήριον· κάρπωμά ἐστι θυσία ὀσμὴ εὐωδίας τῷ Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 10] Ἐὰν δὲ ἀπὸ τῶν προβάτων τὸ δῶρον αὐτοῦ τῷ Κυρίῳ, ἀπό τε τῶν ἀρνῶν, καὶ τῶν ἐρίφων εἰς ὁλοκαυτώματα, ἄρσεν ἄμωμον προσάξει αὐτό.
[LXX | EL | OT | Leviticus | Chapter 1 | Verse 11] Καὶ ἐπιθήσει τὴν χεῖρα ἐπὶ τὴν κεφαλὴν αὐτοῦ· καὶ σφάξουσιν αὐτὸ ἐκ πλαγίων τοῦ θυσιαστηρίου πρὸς βοῤῥᾶν ἔναντι Κυρίου· καὶ προσχεοῦσιν οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς τὸ αἷμα αὐτοῦ ἐπὶ τὸ θυσιαστήριον κύκλῳ.
