[LXX | EL | OT | Leviticus | Chapter 21 | Verse 1] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, λέγων, εἶπον τοῖς ἱερεύσι τοῖς υἱοῖς Ἀαρὼν, καὶ ἐρεῖς πρὸς αὐτούς, ἐν ταῖς ψυχαῖς οὐ μιανθήσονται ἐν τῷ ἔθνει αὐτῶν,
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 2] ἀλλʼ ἢ ἐν τῷ οἰκείῳ τῷ ἔγγιστα αὐτῶν, ἐπὶ πατρὶ καὶ μητρὶ, καὶ υἱοῖς, καὶ θυγατράσιν, ἐπʼ ἀδελφῷ,
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 3] καὶ ἐπʼ ἀδελφῇ παρθένῳ τῇ ἐγγιζούσῃ αὐτῷ, τῇ μὴ ἐκδεδομένῃ ἀνδρί, ἐπὶ τούτοις μιανθήσεται.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 4] Οὐ μιανθήσεται ἐξάπινα ἐν τῷ λαῷ αὐτοῦ εἰς βεβήλωσιν αὐτοῦ.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 5] Καὶ φαλάκρωμα οὐ ξυρηθήσεσθε τὴν κεφαλὴν ἐπὶ νεκρῷ· καὶ τὴν ὄψιν τοῦ πώγωνος οὐ ξυρήσονται· καὶ ἐπὶ τὰς σάρκας αὐτῶν οὐ κατατεμοῦσιν ἐντομίδας.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 6] Ἅγιοι ἔσονται τῷ Θεῷ αὐτῶν, καὶ οὐ βεβηλώσουσι τὸ ὄνομα τοῦ Θεοῦ αὐτῶν· τὰς γὰρ θυσίας Κυρίου δῶρα τοῦ Θεοῦ αὐτῶν αὐτοὶ προσφέρουσι, καὶ ἔσονται ἅγιοι.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 7] Γυναῖκα πόρνην καὶ βεβηλωμένην οὐ λήψονται, καὶ γυναῖκα ἐκβεβλημένην ἀπὸ ἀνδρὸς αὐτῆς, ὅτι ἅγιός ἐστι Κυρίῳ τῷ Θεῷ αὐτοῦ.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 8] Καὶ ἁγιάσεις αὐτόν· τὰ δῶρα Κυρίου τοῦ Θεοῦ ὑμῶν οὗτος προσφέρει, ἅγιος ἔσται· ὅτι ἅγιος ἐγὼ Κύριος ὁ ἁγιάζων αὐτούς.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 9] Καὶ θυγάτηρ ἀνθρώπου ἱερέως ἐὰν βεβηλωθῇ τοῦ ἐκπορνεύσαι, τὸ ὄνομα τοῦ πατρὸς αὐτῆς αὐτὴ βεβηλοῖ· ἐπὶ πυρὸς κατακαυθήσεται.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 10] Καὶ ὁ ἱερεὺς ὁ μέγας ἀπὸ τῶν ἀδελφῶν αὐτοῦ, τοῦ ἐπικεχυμένου ἐπὶ τὴν κεφαλὴν τοῦ ἐλαίου τοῦ χριστοῦ, καὶ τετελειωμένου ἐνδύσασθαι τὰ ἱμάτια, τὴν κεφαλὴν οὐκ ἀποκιδαρώσει, καὶ τὰ ἱμάτια οὐ διαῤῥήξει,
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 11] καὶ ἐπὶ πάσῃ ψυχῇ τετελευτηκυίᾳ οὐκ εἰσελεύσεται, ἐπὶ πατρὶ αὐτοῦ οὐδὲ ἐπὶ μητρὶ αὐτοῦ οὐ μιανθήσεται.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 12] Καὶ ἐκ τῶν ἁγίων οὐκ ἐξελεύσεται, καὶ οὐ βεβηλώσει τὸ ἡγιασμένον τοῦ Θεοῦ αὐτοῦ, ὅτι τὸ ἅγιον ἔλαιον τὸ χριστὸν τοῦ Θεοῦ ἐπʼ αὐτῷ· ἐγὼ Κύριος.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 13] Οὗτος γυναῖκα παρθένον ἐκ τοῦ γένους αὐτοῦ λήψεται.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 14] Χήραν δὲ καὶ ἐκβεβλημένην καὶ βεβηλωμένην καὶ πόρνην, ταύτας οὐ λήψεται, ἀλλʼ ἢ παρθένον ἐκ τοῦ λαοῦ αὐτοῦ λήψεται γυναῖκα.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 15] Καὶ οὐ βεβηλώσει τὸ σπέρμα αὐτοῦ ἐν τῷ λαῷ αὐτοῦ· ἐγὼ Κύριος ὁ ἁγιάζων αὐτόν.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 16] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 17] εἶπον Ἀαρὼν, ἄνθρωπος ἐκ τοῦ γένους σου εἰς τὰς γενεὰς ὑμῶν, τινὶ ἐὰν ᾖ ἐν αὐτῷ μῶμος, οὐ προσελεύσεται προσφέρειν τὰ δῶρα τοῦ Θεοῦ αὐτοῦ.
[LXX | EL | OT | Leviticus | Chapter 21 | Verse 18] πᾶς ἄνθρωπος ᾧ ἐστιν ἐν αὐτῷ μῶμος, οὐ προσελεύσεται· ἄνθρωπος τυφλὸς.
