[LXX | EL | OT | Leviticus | Chapter 6 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 2] ἔντειλαι τῷ Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, λέγων, οὗτος ὁ νόμος τῆς ὁλοκαυτώσεως· αὕτη ἡ ὁλοκαύτωσις ἐπὶ τῆς καύσεως αὐτῆς ἐπὶ τοῦ θυσιαστηρίου ὅλην τὴν νύκτα ἕως τοπρωῒ, καὶ τὸ πῦρ τοῦ θυσιαστηρίου καυθήσεται ἐπʼ αὐτοῦ, οὐ σβεσθήσεται.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 3] Καὶ ἐνδύσεται ὁ ἱερεὺς χιτῶνα λινοῦν, καὶ περισκελὲς λινοῦν ἐνδύσεται περὶ τὸ σῶμα αὐτοῦ, καὶ ἀφελεῖ τὴν κατακάρπωσιν, ἣν ἂν καταναλώσῃ τὸ πῦρ, τὴν ὁλοκαύτωσιν ἀπὸ τοῦ θυσιαστηρίου· καὶ παραθήσει αὐτὸ ἐχόμενον τοῦ θυσιαστηρίου.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 4] Καὶ ἐκδύσεται τὴν στολὴν αὐτοῦ, καὶ ἐνδύσεται στολὴν ἄλλην· καὶ ἐξοίσει τὴν κατακάρπωσιν ἔξω τῆς παρεμβολῆς εἰς τόπον καθαρόν.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 5] Καὶ πῦρ ἐπὶ τὸ θυσιαστήριον καυθήσεται ἀπʼ αὐτοῦ, καὶ οὐ σβεσθήσεται· καὶ καύσει ἐπʼ αὐτοῦ ὁ ἱερεὺς ξύλα τοπρωῒ πρωῒ, καὶ στοιβάσει ἐπʼ αὐτοῦ τὴν ὁλοκαύτωσιν, καὶ ἐπιθήσει ἐπʼ αὐτὸ τὸ στέαρ τοῦ σωτηρίου.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 6] Καὶ πῦρ διαπαντὸς καυθήσεται ἐπὶ τὸ θυσιαστήριον, οὐ σβεσθήσεται.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 7] Οὗτος ὁ νόμος τῆς θυσίας, ἣν προσάξουσιν αὐτὴν οἱ υἱοὶ Ἀαρὼν ἔναντι Κυρίου, ἀπέναντι τοῦ θυσιαστηρίου.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 8] Καὶ ἀφελεῖ ἀπʼ αὐτοῦ τῇ δρακὶ ἀπὸ τῆς σεμιδάλεως τῆς θυσίας σὺν τῷ ἐλαίῳ αὐτῆς, καὶ σὺν παντὶ τῷ λιβάνῳ αὐτῆς, τὰ ὄντα ἐπὶ τῆς θυσίας· καὶ ἀνοίσει ἐπὶ τὸ θυσιαστήριον κάρπωμα ὀσμὴν εὐωδίας, τὸ μνημόσυνον αὐτῆς τῷ Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 9] Τὸ δὲ καταλειφθὲν ἀπʼ αὐτῆς ἔδεται Ἀαρὼν καὶ οἱ υἱοὶ αὐτοῦ· ἄζυμα βρωθήσεται ἐν τόπῳ ἁγίῳ· ἐν αὐλῇ τῆς σκηνῆς τοῦ μαρτυρίου ἔδονται αὐτήν.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 10] Οὐ πεφθήσεται ἐζυμωμένη· μερίδα αὐτὴν ἔδωκα αὐτοῖς ἀπὸ τῶν καρπωμάτων Κυρίου· ἅγια ἁγίων ἐστὶν, ὥσπερ τὸ τῆς ἁμαρτίας, καὶ ὥσπερ τὸ τῆς πλημμελείας.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 11] Πᾶν ἀρσενικὸν τῶν ἱερέων ἔδονται αὐτήν· νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν ἀπὸ τῶν καρπωμάτων Κυρίου· πᾶς ὃς ἐὰν ἅψηται αὐτῶν, ἁγιασθήσεται.
[LXX | EL | OT | Leviticus | Chapter 6 | Verse 12] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
