[LXX | EL | OT | Leviticus | Chapter 2 | Verse 1] Ἐὰν δὲ ψυχὴ προσφέρῃ δῶρον θυσίαν τῷ Κυρίῳ, σεμίδαλις ἔσται τὸ δῶρον αὐτοῦ, καὶ ἐπιχεεῖ ἐπʼ αὐτὸ ἔλαιον, καὶ ἐπιθήσει ἐπʼ αὐτὸ λίβανον· θυσία ἐστί.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 2] Καὶ οἴσει πρὸς τοὺς υἱοὺς Ἀαρὼν τοὺς ἱερεῖς· καὶ δραξάμενος ἀπʼ αὐτῆς πλήρη τὴν δράκα ἀπὸ τῆς σεμιδάλεως σὺν τῷ ἐλαίῳ, καὶ πάντα τὸν λίβανον αὐτῆς, καὶ ἐπιθήσει ὁ ἱερεὺς τὸ μνημόσυνον αὐτῆς ἐπὶ τὸ θυσιαστήριον· θυσία ὀσμὴ εὐωδίας τῷ Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 3] Καὶ τὸ λοιπὸν ἀπὸ τῆς θυσίας Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, ἅγιον τῶν ἁγίων ἀπὸ τῶν θυσιῶν Κυρίου.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 4] Ἐὰν δὲ προσφέρῃ δῶρον θυσίαν πεπεμμένην ἐκ κλιβάνου δῶρον Κυρίῳ ἐκ σεμιδάλεως, ἄρτους ἀζύμους πεφυραμένους ἐν ἐλαίῳ, καὶ λάγανα ἄζυμα διακεχρισμένα ἐν ἐλαίῳ.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 5] Ἐὰν δὲ θυσία ἀπὸ τηγάνου τὸ δῶρόν σου, σεμίδαλις πεφυραμένη ἐν ἐλαίῳ ἄζυμά ἐστι.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 6] Καὶ διαθρύψεις αὐτὰ κλάσματα, καὶ ἐπιχεεῖς ἐπʼ αὐτὰ ἔλαιον· θυσία ἐστὶ Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 7] Ἐὰν δὲ θυσία ἀπὸ ἐσχάρας τὸ δῶρόν σου, σεμίδαλις ἐν ἐλαίῳ ποιηθήσεται.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 8] Καὶ προσοίσει τὴν θυσίαν ἣν ἂν ποιήσῃ ἐκ τούτων τῷ Κυρίῳ, καὶ προσοίσει πρὸς τὸν ἱερέα.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 9] Καὶ προσεγγίσας πρὸς τὸ θυσιαστήριον, ἀφελεῖ ὁ ἱερεὺς ἀπὸ τῆς θυσίας τὸ μνημόσυνον αὐτῆς, καὶ ἐπιθήσει ὁ ἱερεὺς ἐπὶ τὸ θυσιαστήριον, κάρπωμα· ὀσμὴ εὐωδίας Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 10] Τὸ δὲ καταλειφθὲν ἀπὸ τῆς θυσίας, Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, ἅγια τῶν ἁγίων ἀπὸ τῶν καρπωμάτων Κυρίου.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 11] Πᾶσαν θυσίαν, ἣν ἂν προσφέρητε Κυρίῳ, οὐ ποιήσετε ζυμωτόν· πᾶσαν γὰρ ζύμην, καὶ πᾶν μέλι οὐ προσοίσετε ἀπʼ αὐτοῦ, καρπῶσαι Κυρίῳ δῶρον.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 12] Ἀπαρχῆς προσοίσετε αὐτὰ Κυρίῳ, ἐπὶ δὲ τὸ θυσιαστήριον οὐκ ἀναβιβασθήσεται εἰς ὀσμὴν εὐωδίας Κυρίῳ.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 13] Καὶ πᾶν δῶρον θυσίας ὑμῶν ἁλὶ ἁλισθήσεται· οὐ διαπαύσατε ἅλας διαθήκης Κυρίου ἀπὸ θυσιασμάτων ὑμῶν· ἐπὶ παντὸς δώρου ὑμῶν προσοίσετε Κυρίῳ τῷ Θεῷ ὑμῶν ἅλας.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 14] Ἐὰν δὲ προσφέρῃς θυσίαν πρωτογεννημάτων τῷ Κυρίῳ, νέα πεφρυγμένα χίδρα ἐρικτὰ τῷ Κυρίῳ· καὶ προσοίσεις τὴν θυσίαν τῶν πρωτογεννημάτων.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 15] Καὶ ἐπιχεεῖς ἐπʼ αὐτὴν ἔλαιον, καὶ ἐπιθήσεις ἐπʼ αὐτὴν λίβανον· θυσία ἐστί.
[LXX | EL | OT | Leviticus | Chapter 2 | Verse 16] Καὶ ἀνοίσει ὁ ἱερεὺς τὸ μνημόσυνον αὐτῆς ἀπὸ τῶν χίδρων σὺν τῷ ἐλαίῳ, καὶ πάντα τὸν λίβανον αὐτῆς· κάρπωμά ἐστι Κυρίῳ.
