[LXX | EL | OT | Leviticus | Chapter 13 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν, λέγων,
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 2] ἀνθρώπῳ ἐάν τινι γένηται ἐν δέρματι χρωτὸς αὐτοῦ οὐλὴ σημασίας τηλαυγὴς, καὶ γένηται ἐν δέρματι χρωτὸς αὐτοῦ ἁφὴ λέπρας, ἀχθήσεται πρὸς Ἀαρὼν τὸν ἱερέα, ἢ ἕνα τῶν υἱῶν αὐτοῦ τῶν ἱερέων.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 3] Καὶ ὄψεται ὁ ἱερεὺς τὴν ἁφὴν ἐν δέρματι τοῦ χρωτὸς αὐτοῦ, καὶ ἡ θρὶξ ἐν τῇ ἁφῇ μεταβάλῃ λευκὴ, καὶ ἡ ὄψις τῆς ἁφῆς ταπεινὴ ἀπὸ τοῦ δέρματος τοῦ χρωτὸς, ἁφὴ λέπρας ἐστί· καὶ ὄψεται ὁ ἱερεὺς, καὶ μιανεῖ αὐτόν.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 4] Ἐὰν δὲ καὶ τηλαυγὴς λευκὴ ἦ ἐν τῷ δέρματι τοῦ χρωτὸς αὐτοῦ, καὶ ταπεινὴ μὴ ἦ ἡ ὄψις αὐτῆς ἀπὸ τοῦ δέρματος, καὶ ἡ θρὶξ αὐτοῦ οὐ μετέβαλε τρίχα λευκὴν, αὐτὴ δέ ἐστιν ἀμαυρὰ, καὶ ἀφοριεῖ ὁ ἱερεὺς τὴν ἁφὴν ἑπτὰ ἡμέρας.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 5] Καὶ ὄψεται ὁ ἱερεὺς τὴν ἁφὴν τῇ ἡμέρᾳ τῇ ἑβδόμῃ· καὶ ἰδοὺ ἡ ἁφὴ μένει ἐναντίον αὐτοῦ, οὐ μετέπεσεν ἡ ἁφὴ ἐν τῷ δέρματι, καὶ ἀφοριεῖ αὐτὸν ὁ ἱερεὺς ἑπτὰ ἡμέρας τοδεύτερον.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 6] Καὶ ὄψεται ὁ ἱερεὺς αὐτὸν τῇ ἡμέρᾳ τῇ ἑβδόμῃ τοδεύτερον· καὶ ἰδοὺ ἀμαυρὰ ἡ ἁφή, οὐ μετέπεσεν ἡ ἁφὴ ἐν τῷ δέρματι· καὶ καθαριεῖ αὐτὸν ὁ ἱερεύς, σημασία γάρ ἐστι· καὶ πλυνάμενος τὰ ἱμάτια αὐτοῦ, καθαρὸς ἔσται.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 7] Ἐὰν δὲ μεταβαλοῦσα μεταπέσῃ ἡ σημασία ἐν τῷ δέρματι, μετὰ τὸ ἰδεῖν αὐτὸν τὸν ἱερέα τοῦ καθαρίσαι αὐτόν, καὶ ὀφθήσεται τοδεύτερον τῷ ἱερεῖ.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 8] Καὶ ὄψεται αὐτὸν ὁ ἱερεύς, καὶ ἰδοὺ μετέπεσεν ἡ σημασία ἐν τῷ δέρματι, καὶ μιανεῖ αὐτὸν ὁ ἱερεύς· λέπρα ἐστί.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 9] Καὶ ἁφὴ λέπρας ἐὰν γένηται ἐν ἀνθρώπῳ, και ἥξει πρὸς τὸν ἱερέα·
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 10] Καὶ ὄψεται ὁ ἱερεὺς, καὶ ἰδοὺ οὐλὴ λευκὴ ἐν τῷ δέρματι, καὶ αὕτη μετέβαλε τρίχα λευκὴν, καὶ ἀπὸ τοῦ ὑγιοῦς τῆς σαρκὸς τῆς ζώσης ἐν τῇ οὐλῇ.
[LXX | EL | OT | Leviticus | Chapter 13 | Verse 11] Λέπρα παλαιουμένη ἐστὶν ἐν τῷ δέρματι τοῦ χρωτός, καὶ μιανεῖ αὐτὸν ὁ ἱερεὺς, καὶ ἀφοριεῖ αὐτὸν, ὅτι ἀκάθαρτός ἐστιν.
