[BSB | EN | NT | Colossians | Chapter 3 | Verse 1] Therefore, since you have been raised with Christ, strive for the things above, where Christ is seated at the right hand of God.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 2] Set your minds on things above, not on earthly things.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 3] For you died, and your life is now hidden with Christ in God.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 4] When Christ, who is your life, appears, then you also will appear with Him in glory.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 5] Put to death, therefore, the components of your earthly nature: sexual immorality, impurity, lust, evil desires, and greed, which is idolatry.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 6] Because of these, the wrath of God is coming on the sons of disobedience.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 7] When you lived among them, you also used to walk in these ways.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 8] But now you must put aside all such things as these: anger, rage, malice, slander, and filthy language from your lips.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 9] Do not lie to one another, since you have taken off the old self with its practices,
[BSB | EN | NT | Colossians | Chapter 3 | Verse 10] and have put on the new self, which is being renewed in knowledge in the image of its Creator.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 11] Here there is no Greek or Jew, circumcised or uncircumcised, barbarian, Scythian, slave, or free, but Christ is all and is in all.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 12] Therefore, as the elect of God, holy and beloved, clothe yourselves with hearts of compassion, kindness, humility, gentleness, and patience.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 13] Bear with one another and forgive any complaint you may have against someone else. Forgive as the Lord forgave you.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 14] And over all these virtues put on love, which is the bond of perfect unity.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 15] Let the peace of Christ rule in your hearts, for to this you were called as members of one body. And be thankful.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 16] Let the word of Christ richly dwell within you as you teach and admonish one another with all wisdom, and as you sing psalms, hymns, and spiritual songs with gratitude in your hearts to God.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 17] And whatever you do, in word or deed, do it all in the name of the Lord Jesus, giving thanks to God the Father through Him.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 18] Wives, submit to your husbands, as is fitting in the Lord.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 19] Husbands, love your wives and do not be harsh with them.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 20] Children, obey your parents in everything, for this is pleasing to the Lord.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 21] Fathers, do not provoke your children, so they will not become discouraged.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 22] Slaves, obey your earthly masters in everything, not only to please them while they are watching, but with sincerity of heart and fear of the Lord.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 23] Whatever you do, work at it with your whole being, for the Lord and not for men,
[BSB | EN | NT | Colossians | Chapter 3 | Verse 24] because you know that you will receive an inheritance from the Lord as your reward. It is the Lord Christ you are serving.
[BSB | EN | NT | Colossians | Chapter 3 | Verse 25] Whoever does wrong will be repaid for his wrong, and there is no favoritism.
