[BSB | EN | NT | Colossians | Chapter 4 | Verse 1] Masters, supply your slaves with what is right and fair, since you know that you also have a Master in heaven.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 2] Devote yourselves to prayer, being watchful and thankful,
[BSB | EN | NT | Colossians | Chapter 4 | Verse 3] as you pray also for us, that God may open to us a door for the word, so that we may proclaim the mystery of Christ, for which I am in chains.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 4] Pray that I may declare it clearly, as I should.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 5] Act wisely toward outsiders, redeeming the time.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 6] Let your speech always be gracious, seasoned with salt, so that you may know how to answer everyone.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 7] Tychicus will tell you all the news about me. He is a beloved brother, a faithful minister, and a fellow servant in the Lord.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 8] I have sent him to you for this very purpose, that you may know about us, and that he may encourage your hearts.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 9] With him I am sending Onesimus, our faithful and beloved brother, who is one of you. They will tell you about everything here.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 10] My fellow prisoner Aristarchus sends you greetings, as does Mark the cousin of Barnabas. You have already received instructions about him: If he comes to you, welcome him.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 11] Jesus, who is called Justus, also sends greetings. These are the only Jews among my fellow workers for the kingdom of God, and they have been a comfort to me.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 12] Epaphras, who is one of you and a servant of Christ Jesus, sends you greetings. He is always wrestling in prayer for you, so that you may stand mature and fully assured in the full will of God.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 13] For I testify about him that he goes to great pains for you and for those at Laodicea and Hierapolis.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 14] Luke, the beloved physician, and Demas send you greetings.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 15] Greet the brothers in Laodicea, as well as Nympha and the church that meets at her house.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 16] After this letter has been read among you, make sure that it is also read in the church of the Laodiceans, and that you in turn read the letter from Laodicea.
[BSB | EN | NT | Colossians | Chapter 4 | Verse 17] Tell Archippus: “See to it that you complete the ministry you have received in the Lord.”
[BSB | EN | NT | Colossians | Chapter 4 | Verse 18] This greeting is in my own hand—Paul. Remember my chains. Grace be with you.
