[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 1] ਇਹ ਦੇ ਬਾਅਦ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਗੋਤ ਹਬਰੋਨ ਵਿੱਚ ਦਾਊਦ ਦੇ ਕੋਲ ਇਕੱਠੇ ਹੋਏ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਵੇਖੋ, ਅਸੀਂ ਤੁਹਾਡੀ ਹੀ ਹੱਡੀ ਅਤੇ ਮਾਸ ਹਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 2] ਪਿਛਲੇ ਸਮੇਂ ਵਿੱਚ ਜਦੋਂ ਸ਼ਾਊਲ ਸਾਡਾ ਰਾਜਾ ਸੀ, ਤਦ ਤੁਸੀਂ ਹੀ ਇਸਰਾਏਲ ਦੀ ਅਗਵਾਈ ਕੀਤੀ ਅਤੇ ਯਹੋਵਾਹ ਨੇ ਤੁਹਾਨੂੰ ਆਖਿਆ ਸੀ ਜੋ ਤੂੰ ਮੇਰੀ ਪਰਜਾ ਇਸਰਾਏਲ ਦਾ ਚਰਵਾਹਾ ਹੋਵੇਂਗਾ ਅਤੇ ਤੂੰ ਹੀ ਇਸਰਾਏਲ ਉੱਤੇ ਪ੍ਰਧਾਨ ਹੋਵੇਂਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 3] ਇਸ ਲਈ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਬਜ਼ੁਰਗ ਹਬਰੋਨ ਵਿੱਚ ਰਾਜਾ ਕੋਲ ਆਏ, ਦਾਊਦ ਰਾਜਾ ਨੇ ਹਬਰੋਨ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੇ ਨਾਲ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਵਾਇਦਾ ਕੀਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਦਾਊਦ ਨੂੰ ਮਸਹ ਕਰ ਕੇ ਇਸਰਾਏਲ ਦਾ ਰਾਜਾ ਬਣਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 4] ਜਿਸ ਵੇਲੇ ਦਾਊਦ ਰਾਜ ਕਰਨ ਲੱਗਾ ਤਦ ਉਸ ਦੀ ਉਮਰ ਤੀਹ ਸਾਲ ਸੀ ਅਤੇ ਉਸ ਨੇ ਚਾਲ੍ਹੀ ਸਾਲ ਰਾਜ ਕੀਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 5] ਉਸ ਨੇ ਸੱਤ ਸਾਲ ਛੇ ਮਹੀਨੇ ਯਹੂਦਾਹ ਉੱਤੇ ਹਬਰੋਨ ਵਿੱਚ, ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲ ਅਤੇ ਯਹੂਦਾਹ ਉੱਤੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਤੇਤੀ ਸਾਲ ਰਾਜ ਕੀਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 6] ਫਿਰ ਰਾਜਾ ਆਪਣਿਆਂ ਸੈਨਿਕਾਂ ਨਾਲ ਯਰੂਸ਼ਲਮ ਨੂੰ ਯਬੂਸੀਆਂ ਦੇ ਕੋਲ ਗਿਆ ਜੋ ਉਸ ਦੇਸ਼ ਦੇ ਵਾਸੀ ਸਨ। ਉਨ੍ਹਾਂ ਨੇ ਦਾਊਦ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਇੱਥੇ ਨਾ ਵੜੇਂਗਾ ਪਰੰਤੂ ਅੰਨ੍ਹੇ ਅਤੇ ਲੰਗੜੇ ਤੈਨੂੰ ਰੋਕਣਗੇ ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਸਮਝਿਆ ਕਿ ਦਾਊਦ ਐਥੇ ਨਹੀਂ ਵੜ ਸਕੇਗਾ,
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 7] ਪਰ ਦਾਊਦ ਨੇ ਸੀਯੋਨ ਦਾ ਗੜ੍ਹ ਆਪਣੇ ਵੱਸ ਕਰ ਲਿਆ ਅਤੇ ਉਹ ਹੀ ਦਾਊਦ ਦਾ ਸ਼ਹਿਰ ਬਣਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 8] ਉਸ ਦਿਨ ਦਾਊਦ ਨੇ ਆਖਿਆ, ਜਿਹੜਾ ਕੋਈ ਯਬੂਸੀਆਂ ਨੂੰ ਮਾਰਨਾ ਚਾਹੇ ਉਹ ਪਰਨਾਲੇ ਵਿੱਚੋਂ ਦੀ ਲੰਘੇ ਅਤੇ ਅੰਨ੍ਹੇ ਅਤੇ ਲੰਗੜੇ ਜਿਹਨਾਂ ਨੂੰ ਦਾਊਦ ਨਫ਼ਰਤ ਕਰਦਾ ਹੈ ਉਹਨਾਂ ਨੂੰ ਮਾਰਨ। ਇਸੇ ਲਈ ਇਹ ਕਹਾਉਤ ਚੱਲ ਪਈ ਕਿ ਅੰਨ੍ਹੇ ਅਤੇ ਲੰਗੜੇ ਰਾਜ ਮਹਿਲ ਵਿੱਚ ਨਹੀਂ ਵੜ ਸਕਦੇ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 9] ਦਾਊਦ ਉਸ ਗੜ੍ਹ ਵਿੱਚ ਰਹਿਣ ਲੱਗਾ ਅਤੇ ਉਸ ਨੇ ਉਹ ਦਾ ਨਾਮ ਦਾਊਦ ਦਾ ਸ਼ਹਿਰ ਰੱਖਿਆ ਅਤੇ ਦਾਊਦ ਨੇ ਆਲੇ-ਦੁਆਲੇ ਅਤੇ ਮਿੱਲੋ ਤੋਂ ਲੈ ਕੇ ਉਸ ਦੇ ਅੰਦਰ ਸ਼ਹਿਰਪਨਾਹ ਬਣਾਈ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 10] ਦਾਊਦ ਬਹੁਤ ਵੱਧਦਾ ਗਿਆ ਕਿਉਂ ਜੋ ਸੈਨਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਉਸ ਦੇ ਅੰਗ-ਸੰਗ ਸੀ।
[IRV | PA | OT | 2 Samuel | Chapter 5 | Verse 11] ਸੂਰ ਦੇ ਰਾਜਾ ਹੀਰਾਮ ਨੇ ਦਾਊਦ ਕੋਲ ਸੰਦੇਸ਼ਵਾਹਕ ਭੇਜੇ ਅਤੇ ਦਿਆਰ ਦੀ ਲੱਕੜ ਅਤੇ ਤਰਖਾਣ ਅਤੇ ਰਾਜ ਮਿਸਤਰੀ ਵੀ ਭੇਜੇ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਦਾਊਦ ਦੇ ਲਈ ਮਹਿਲ ਬਣਾਇਆ।
