[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 1] ਅਹੀਥੋਫ਼ਲ ਨੇ ਅਬਸ਼ਾਲੋਮ ਨੂੰ ਇਹ ਵੀ ਆਖਿਆ ਕਿ ਮੈਨੂੰ ਹੁਕਮ ਦਿਓ ਤਾਂ ਜੋ ਮੈਂ ਹੁਣ ਬਾਰਾਂ ਹਜ਼ਾਰ ਮਨੁੱਖ ਚੁਣ ਲਵਾਂ ਅਤੇ ਅੱਜ ਰਾਤ ਨੂੰ ਹੀ ਉੱਠ ਕੇ ਦਾਊਦ ਦਾ ਪਿੱਛਾ ਕਰਾਂਗਾ,
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 2] ਜਿਸ ਵੇਲੇ ਉਹ ਥੱਕਿਆ ਹੋਇਆ ਹੋਵੇ ਅਤੇ ਉਹ ਦੇ ਹੱਥ ਢਿੱਲੇ ਹੋਣ ਤਾਂ ਮੈਂ ਉਸ ਉੱਤੇ ਹਮਲਾ ਕਰਾਂਗਾ ਅਤੇ ਉਸ ਨੂੰ ਡਰਾਵਾਂਗਾ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਦੇ ਸਾਰੇ ਭੱਜ ਜਾਣਗੇ ਅਤੇ ਮੈਂ ਸਿਰਫ਼ ਰਾਜਾ ਨੂੰ ਹੀ ਮਾਰ ਲਵਾਂਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 3] ਸਾਰੇ ਲੋਕਾਂ ਨੂੰ ਮੈਂ ਤੁਹਾਡੇ ਵੱਲ ਮੋੜ ਲਿਆਵਾਂਗਾ ਕਿਉਂ ਜੋ ਉਹ ਮਨੁੱਖ ਜਿਸ ਨੂੰ ਤੁਸੀਂ ਲੱਭਦੇ ਹੋ ਅਤੇ ਇਨ੍ਹਾਂ ਸਾਰੇ ਲੋਕਾਂ ਦਾ ਮੁੜਨਾ ਇੱਕੋ ਜਿਹਾ ਹੀ ਹੈ ਅਤੇ ਸਾਰੇ ਲੋਕ ਸੁੱਖ-ਸਾਂਦ ਨਾਲ ਰਹਿਣਗੇ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 4] ਇਹ ਗੱਲ ਅਬਸ਼ਾਲੋਮ ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲੀ ਬਜ਼ੁਰਗਾਂ ਨੂੰ ਚੰਗੀ ਲੱਗੀ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 5] ਉਸ ਵੇਲੇ ਅਬਸ਼ਾਲੋਮ ਨੇ ਆਖਿਆ, ਹੂਸ਼ਈ ਅਰਕੀ ਨੂੰ ਵੀ ਸੱਦ ਲਓ ਤਾਂ ਜੋ ਅਸੀਂ ਉਹ ਦੇ ਮੂੰਹੋਂ ਵੀ ਕੁਝ ਸੁਣੀਏ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 6] ਜਦ ਹੂਸ਼ਈ ਅਬਸ਼ਾਲੋਮ ਦੇ ਸਾਹਮਣੇ ਆਇਆ ਤਾਂ ਅਬਸ਼ਾਲੋਮ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ ਕਿ ਅਹੀਥੋਫ਼ਲ ਇਹ ਸਲਾਹ ਦਿੰਦਾ ਹੈ, ਸੋ ਅਸੀਂ ਅਜਿਹਾ ਕਰੀਏ ਜਾਂ ਨਹੀਂ? ਤੂੰ ਕੀ ਆਖਦਾ ਹੈਂ?
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 7] ਤਦ ਹੂਸ਼ਈ ਨੇ ਅਬਸ਼ਾਲੋਮ ਨੂੰ ਆਖਿਆ, ਇਹ ਸਲਾਹ ਜੋ ਅਹੀਥੋਫ਼ਲ ਨੇ ਦਿੱਤੀ ਹੈ, ਇਸ ਵੇਲੇ ਚੰਗੀ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 8] ਫਿਰ ਹੂਸ਼ਈ ਨੇ ਇਹ ਵੀ ਆਖਿਆ, ਤੁਸੀਂ ਆਪਣੇ ਪਿਤਾ ਅਤੇ ਉਹ ਦੇ ਮਨੁੱਖਾਂ ਨੂੰ ਜਾਣਦੇ ਹੋ ਕਿ ਉਹ ਕਿੰਨ੍ਹੇ ਵੱਡੇ ਸੂਰਮੇ ਹਨ ਅਤੇ ਇਸ ਵੇਲੇ ਉਹ ਆਪਣੇ ਜੀਆਂ ਵਿੱਚ ਉਸ ਰਿੱਛਣੀ ਵਾਂਗੂੰ ਕ੍ਰੋਧ ਵਿੱਚ ਹੋਣਗੇ ਜਿਸ ਦੇ ਬੱਚੇ ਉਜਾੜ ਵਿੱਚ ਖੋਹ ਲਏ ਗਏ ਹੋਣ। ਤੁਹਾਡਾ ਪਿਤਾ ਯੋਧਾ ਹੈ ਅਤੇ ਉਹ ਸਾਰੇ ਲੋਕਾਂ ਦੇ ਨਾਲ ਨਹੀਂ ਰਹੇਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 9] ਵੇਖੋ, ਜੋ ਉਹ ਹੁਣ ਕਿਸੇ ਖੋਹ ਵਿੱਚ ਜਾਂ ਕਿਸੇ ਹੋਰ ਸਥਾਨ ਥਾਂ ਵਿੱਚ ਲੁੱਕਿਆ ਹੋਵੇਗਾ ਅਤੇ ਜੇਕਰ ਪਹਿਲੇ ਹਮਲੇ ਵਿੱਚ ਹੀ ਇਨ੍ਹਾਂ ਲੋਕਾਂ ਵਿੱਚੋਂ ਕੁਝ ਮਾਰੇ ਜਾਣ ਤਾਂ ਸਾਰੇ ਸੁਣਨ ਵਾਲੇ ਇਹ ਆਖਣਗੇ ਕਿ ਅਬਸ਼ਾਲੋਮ ਦੇ ਲੋਕਾਂ ਵਿੱਚ ਵਾਢ ਪਾਈ ਗਈ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 10] ਇਸ ਕਾਰਨ ਉਹ ਵੀ ਜੋ ਸੂਰਮਾ ਹੈ ਅਤੇ ਜਿਸ ਦਾ ਮਨ ਸ਼ੇਰ ਦੇ ਮਨ ਵਰਗਾ ਹੈ ਉਸਦਾ ਵੀ ਹੌਂਸਲਾ ਟੁੱਟ ਜਾਵੇਗਾ, ਕਿਉਂ ਜੋ ਸਾਰਾ ਇਸਰਾਏਲ ਜਾਣਦਾ ਹੈ ਕਿ ਤੁਹਾਡਾ ਪਿਤਾ ਸੂਰਮਾ ਹੈ ਅਤੇ ਉਹ ਦੇ ਨਾਲ ਦੇ ਵੀ ਸਾਰੇ ਸੂਰਮੇ ਹਨ।
[IRV | PA | OT | 2 Samuel | Chapter 17 | Verse 11] ਇਸ ਲਈ ਮੈਂ ਇਹ ਸਲਾਹ ਦਿੰਦਾ ਹਾਂ ਕਿ ਸਾਰੇ ਇਸਰਾਏਲ ਵਿੱਚ ਦਾਨ ਤੋਂ ਲੈ ਕੇ ਬਏਰਸ਼ਬਾ ਤੱਕ ਐਨੇ ਲੋਕ ਤੁਹਾਡੇ ਨਾਲ ਇਕੱਠੇ ਹੋਣ ਜਿੰਨ੍ਹੀ ਸਮੁੰਦਰ ਦੇ ਕੰਢੇ ਉੱਤੇ ਰੇਤ ਹੁੰਦੀ ਹੈ, ਅਤੇ ਤੁਸੀਂ ਆਪ ਯੁੱਧ ਕਰਨ ਲਈ ਜਾਓ।
