[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 1] ਇਸ ਤੋਂ ਬਾਅਦ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਦਾਊਦ ਦੇ ਪੁੱਤਰ ਅਬਸ਼ਾਲੋਮ ਦੀ ਤਾਮਾਰ ਨਾਮ ਦੀ ਇੱਕ ਭੈਣ ਜੋ ਬਹੁਤ ਸੋਹਣੀ ਸੀ। ਦਾਊਦ ਦਾ ਪੁੱਤਰ ਅਮਨੋਨ ਉਸ ਨਾਲ ਪ੍ਰੇਮ ਕਰਨ ਲੱਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 2] ਅਮਨੋਨ ਅਜਿਹਾ ਬੇਚੈਨ ਹੋਇਆ ਜੋ ਆਪਣੀ ਭੈਣ ਤਾਮਾਰ ਦੇ ਕਾਰਨ ਬਿਮਾਰ ਹੋ ਗਿਆ ਕਿਉਂ ਜੋ ਉਹ ਕੁਆਰੀ ਸੀ ਇਸ ਲਈ ਅਮਨੋਨ ਉਹ ਦੇ ਨਾਲ ਕੁਝ ਕਰਨਾ ਔਖਾ ਜਾਣ ਪਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 3] ਦਾਊਦ ਦੇ ਭਰਾ ਸ਼ਿਮਆਹ ਦਾ ਪੁੱਤਰ ਯੋਨਾਦਾਬ ਅਮਨੋਨ ਦਾ ਮਿੱਤਰ ਸੀ ਅਤੇ ਇਹ ਯੋਨਾਦਾਬ ਬਹੁਤ ਚਲਾਕ ਮਨੁੱਖ ਸੀ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 4] ਸੋ ਉਸ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਰਾਜਾ ਦਾ ਪੁੱਤਰ ਹੋ ਕੇ ਦਿਨੋਂ-ਦਿਨ ਕਮਜ਼ੋਰ ਕਿਉਂ ਹੁੰਦਾ ਜਾਂਦਾ ਹੈ? ਭਲਾ, ਤੂੰ ਮੈਨੂੰ ਨਾ ਦੱਸੇਗਾ? ਤਦ ਅਮਨੋਨ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ ਕਿ ਮੈਂ ਆਪਣੇ ਭਰਾ ਅਬਸ਼ਾਲੋਮ ਦੀ ਭੈਣ ਤਾਮਾਰ ਨਾਲ ਪਿਆਰ ਕਰਦਾ ਹਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 5] ਇਸ ਲਈ ਯੋਨਾਦਾਬ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੰਜੇ ਉੱਤੇ ਪਿਆ ਰਹਿ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਰੋਗੀ ਬਣਾ ਅਤੇ ਜਦ ਤੇਰਾ ਪਿਤਾ ਤੈਨੂੰ ਵੇਖਣ ਆਵੇ ਤਾਂ ਤੂੰ ਉਹ ਨੂੰ ਆਖੀਂ ਕਿ ਮੇਰੀ ਭੈਣ ਤਾਮਾਰ ਨੂੰ ਆਖੋ ਜੋ ਉਹ ਆਵੇ ਅਤੇ ਮੈਨੂੰ ਰੋਟੀ ਖੁਆਵੇ ਅਤੇ ਮੇਰੇ ਸਾਹਮਣੇ ਭੋਜਨ ਪਕਾਵੇ ਜੋ ਮੈਂ ਵੇਖਾਂ ਅਤੇ ਉਹ ਦੇ ਹੱਥੋਂ ਖਾਵਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 6] ਤਦ ਅਮਨੋਨ ਲੰਮਾ ਪਿਆ ਰਿਹਾ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਬਿਮਾਰ ਬਣਾਇਆ ਅਤੇ ਜਦ ਰਾਜਾ ਉਸ ਨੂੰ ਵੇਖਣ ਲਈ ਆਇਆ ਤਾਂ ਅਮਨੋਨ ਨੇ ਰਾਜਾ ਨੂੰ ਆਖਿਆ, ਮੇਰੀ ਭੈਣ ਤਾਮਾਰ ਨੂੰ ਆਉਣ ਦਿਓ ਜੋ ਉਹ ਮੇਰੇ ਸਾਹਮਣੇ ਇੱਕ ਦੋ ਪੂਰੀਆਂ ਤਲੇ ਜੋ ਮੈਂ ਉਸ ਦੇ ਹੱਥੋਂ ਭੋਜਨ ਕਰਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 7] ਤਦ ਦਾਊਦ ਨੇ ਤਾਮਾਰ ਦੇ ਘਰ ਸੁਨੇਹਾ ਭੇਜਿਆ, ਤੂੰ ਹੁਣ ਆਪਣੇ ਭਰਾ ਅਮਨੋਨ ਦੇ ਘਰ ਜਾ ਅਤੇ ਉਹ ਦੇ ਲਈ ਭੋਜਨ ਤਿਆਰ ਕਰ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 8] ਸੋ ਤਾਮਾਰ ਆਪਣੇ ਭਰਾ ਅਮਨੋਨ ਦੇ ਘਰ ਆਈ ਅਤੇ ਉਹ ਮੰਜੇ ਉੱਤੇ ਪਿਆ ਹੋਇਆ ਸੀ। ਉਸ ਨੇ ਆਟਾ ਗੁੰਨ੍ਹਿਆ ਅਤੇ ਉਹ ਦੇ ਸਾਹਮਣੇ ਪੂਰੀਆਂ ਤਲੀਆਂ,
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 9] ਉਸ ਨੇ ਥਾਲੀ ਲੈ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉਹ ਦੇ ਸਾਹਮਣੇ ਰੱਖ ਦਿੱਤਾ ਪਰ ਉਹ ਨੇ ਖਾਣ ਤੋਂ ਮਨ੍ਹਾ ਕੀਤਾ। ਤਦ ਅਮਨੋਨ ਨੇ ਆਪਣੇ ਸੇਵਕਾਂ ਨੂੰ ਆਖਿਆ, ਸਾਰੇ ਲੋਕ ਮੇਰੇ ਕੋਲੋਂ ਬਾਹਰ ਚਲੇ ਜਾਣ ਸੋ ਸਭ ਉਹ ਦੇ ਕੋਲੋਂ ਬਾਹਰ ਚਲੇ ਗਏ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 10] ਤਦ ਅਮਨੋਨ ਨੇ ਤਾਮਾਰ ਨੂੰ ਆਖਿਆ, ਕੋਠੜੀ ਦੇ ਅੰਦਰ ਭੋਜਨ ਲੈ ਆ ਜੋ ਮੈਂ ਤੇਰੇ ਹੱਥੋਂ ਖਾਵਾਂ। ਸੋ ਤਾਮਾਰ ਨੇ ਉਹ ਪੂਰੀਆਂ ਜੋ ਉਸ ਨੇ ਤਲੀਆਂ ਸਨ ਲਈਆਂ ਅਤੇ ਕੋਠੜੀ ਦੇ ਵਿੱਚ ਆਪਣੇ ਭਰਾ ਅਮਨੋਨ ਦੇ ਕੋਲ ਲੈ ਆਈ।
[IRV | PA | OT | 2 Samuel | Chapter 13 | Verse 11] ਜਦ ਉਹ ਭੋਜਨ ਖਵਾਉਣ ਲਈ ਉਹ ਦੇ ਸਾਹਮਣੇ ਲੈ ਆਈ ਤਾਂ ਉਹ ਨੇ ਉਸ ਨੂੰ ਫੜ ਲਿਆ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਕੁੜੀਏ, ਮੇਰੇ ਨਾਲ ਸੰਗ ਕਰ!
