[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 1] ਫਿਰ ਦਾਊਦ ਨੇ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਚੁਣੇ ਹੋਏ, ਤੀਹ ਹਜ਼ਾਰ ਜੁਆਨਾਂ ਨੂੰ ਇਕੱਠਿਆਂ ਕੀਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 2] ਤਦ ਦਾਊਦ ਉੱਠਿਆ ਅਤੇ ਆਪਣੇ ਨਾਲ ਦੇ ਸਾਰਿਆਂ ਲੋਕਾਂ ਨੂੰ ਲੈ ਕੇ ਬਆਲੇ ਨਾਮ ਦੇ ਸਥਾਨ, ਯਹੂਦਾਹ ਤੋਂ ਤੁਰਿਆ, ਤਾਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਲੈ ਆਵੇ ਜਿਹੜਾ ਉਸ ਨਾਮ ਤੋਂ ਅਰਥਾਤ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਤੋਂ ਸਦਾਉਂਦਾ ਹੈ, ਜੋ ਕਰੂਬੀਆਂ ਦੇ ਉੱਤੇ ਬਿਰਾਜਮਾਨ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 3] ਸੋ ਉਨ੍ਹਾਂ ਨੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਨਵੀਂ ਬੈਲ ਗੱਡੀ ਉੱਤੇ ਰੱਖਿਆ ਅਤੇ ਉਹ ਨੂੰ ਅਬੀਨਾਦਾਬ ਦੇ ਘਰ ਤੋਂ ਜੋ ਗਿਬਆਹ ਵਿੱਚ ਸੀ, ਚੁੱਕ ਲਿਆਏ ਅਤੇ ਅਬੀਨਾਦਾਬ ਦੇ ਪੁੱਤਰਾਂ ਊਜ਼ਾਹ ਅਤੇ ਅਹਯੋ ਨੇ ਉਸ ਨਵੀਂ ਗੱਡੀ ਨੂੰ ਹੱਕਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 4] ਉਹ ਉਸ ਨੂੰ ਅਬੀਨਾਦਾਬ ਦੇ ਘਰ ਤੋਂ ਜੋ ਗਿਬਆਹ ਪਰਬਤ ਵਿੱਚ ਸੀ ਚੁੱਕ ਲਿਆਏ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਦੇ ਨਾਲ-ਨਾਲ ਗਏ। ਅਤੇ ਅਹਯੋ ਸੰਦੂਕ ਦੇ ਅੱਗੇ-ਅੱਗੇ ਤੁਰਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 5] ਦਾਊਦ ਅਤੇ ਇਸਰਾਏਲ ਦਾ ਸਾਰਾ ਘਰਾਣਾ ਚੀਲ ਦੀ ਲੱਕੜ ਦੇ ਸਾਰੇ ਤਰ੍ਹਾਂ ਦੇ ਵਾਜੇ ਅਰਥਾਤ ਬੀਨ, ਮੱਧਮ, ਖੰਜ਼ਰੀਆਂ, ਚਿਮਟਾ ਅਤੇ ਛੈਣੇ ਲੈ ਕੇ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਅੱਗੇ-ਅੱਗੇ ਵਜਾਉਂਦੇ ਗਏ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 6] ਜਦ ਉਹ ਨਾਕੋਨ ਦੇ ਪਿੜ ਕੋਲ ਪਹੁੰਚੇ, ਤਦ ਊਜ਼ਾਹ ਨੇ ਹੱਥ ਵਧਾ ਕੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੰਦੂਕ ਨੂੰ ਫੜ੍ਹ ਕੇ ਸੰਭਾਲਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 7] ਕਿਉਂ ਜੋ ਬਲ਼ਦਾਂ ਨੂੰ ਠੋਕਰ ਲੱਗੀ ਸੀ, ਤਦ ਯਹੋਵਾਹ ਦਾ ਕ੍ਰੋਧ ਊਜ਼ਾਹ ਦੇ ਉੱਤੇ ਭੜਕਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਦੇ ਦੋਸ਼ ਦੇ ਕਾਰਨ ਉਹ ਨੂੰ ਮਾਰਿਆ ਅਤੇ ਉਹ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਦੇ ਕੋਲ ਹੀ ਮਰ ਗਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 8] ਦਾਊਦ ਦੁਖੀ ਹੋ ਗਿਆ, ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਊਜ਼ਾਹ ਉੱਤੇ ਆਣ ਪਿਆ ਅਤੇ ਉਹ ਨੇ ਉਸ ਥਾਂ ਦਾ ਨਾਮ ਪਰਸ-ਊਜ਼ਾਹ ਰੱਖਿਆ ਜੋ ਅੱਜ ਤੱਕ ਪ੍ਰਸਿੱਧ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 9] ਦਾਊਦ ਉਸ ਦਿਨ ਯਹੋਵਾਹ ਤੋਂ ਡਰ ਗਿਆ ਅਤੇ ਆਖਿਆ, ਮੈਂ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਆਪਣੇ ਕੋਲ ਕਿਵੇਂ ਲਿਆਵਾਂ?
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 10] ਸੋ ਦਾਊਦ ਦਾ ਜੀਅ ਨਾ ਕੀਤਾ ਜੋ ਯਹੋਵਾਹ ਦੇ ਸੰਦੂਕ ਨੂੰ ਆਪਣੇ ਸ਼ਹਿਰ ਵਿੱਚ ਲੈ ਜਾ ਕੇ ਆਪਣੇ ਕੋਲ ਰੱਖੇ, ਤਦ ਦਾਊਦ ਉਹ ਨੂੰ ਇੱਕ ਪਾਸੇ ਗਿੱਤੀ ਓਬੇਦ-ਅਦੋਮ ਦੇ ਘਰ ਵਿੱਚ ਲੈ ਗਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 6 | Verse 11] ਯਹੋਵਾਹ ਦਾ ਸੰਦੂਕ ਓਬੇਦ-ਅਦੋਮ ਗਿੱਤੀ ਦੇ ਘਰ ਵਿੱਚ ਤਿੰਨ ਮਹੀਨਿਆਂ ਤੱਕ ਰਿਹਾ। ਯਹੋਵਾਹ ਨੇ ਓਬੇਦ-ਅਦੋਮ ਨੂੰ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਘਰਾਣੇ ਨੂੰ ਬਰਕਤ ਦਿੱਤੀ।
