[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 1] ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਅਤੇ ਦਾਊਦ ਦੇ ਘਰਾਣੇ ਵਿੱਚ ਲੰਮੇ ਸਮੇਂ ਤੱਕ ਯੁੱਧ ਹੁੰਦਾ ਰਿਹਾ, ਪਰ ਦਾਊਦ ਦਿਨੋ ਦਿਨ ਤਕੜਾ ਹੁੰਦਾ ਗਿਆ, ਪਰ ਸ਼ਾਊਲ ਦਾ ਘਰਾਣਾ ਕਮਜ਼ੋਰ ਹੁੰਦਾ ਗਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 2] ਫਿਰ ਹਬਰੋਨ ਵਿੱਚ ਦਾਊਦ ਦੇ ਪੁੱਤਰ ਪੈਦਾ ਹੋਏ, ਉਹ ਦਾ ਪਹਿਲੌਠੇ ਪੁੱਤਰ ਅਮਨੋਨ ਸੀ ਜੋ ਯਿਜ਼ਰੇਲਣ ਅਹੀਨੋਅਮ ਦੀ ਕੁੱਖੋਂ ਹੋਇਆ,
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 3] ਦੂਜੇ ਦਾ ਨਾਮ ਕਿਲਆਬ ਸੀ ਜੋ ਕਰਮਲੀ ਨਾਬਾਲ ਦੀ ਪਤਨੀ ਅਬੀਗੈਲ ਦੀ ਕੁੱਖੋਂ ਪੈਦਾ ਹੋਇਆ ਅਤੇ ਤੀਜਾ ਅਬਸ਼ਾਲੋਮ ਸੀ ਜੋ ਗਸ਼ੂਰ ਦੇ ਰਾਜੇ ਤਲਮਈ ਦੀ ਧੀ ਮਅਕਾਹ ਦੀ ਕੁੱਖੋਂ ਪੈਦਾ ਹੋਇਆ,
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 4] ਅਤੇ ਚੌਥੇ ਦਾ ਨਾਮ ਅਦੋਨੀਯਾਹ ਜਿਸ ਨੂੰ ਹੱਗੀਥ ਨੇ ਜਨਮ ਦਿੱਤਾ ਅਤੇ ਪੰਜਵੇ ਦਾ ਨਾਮ ਸ਼ਫ਼ਟਯਾਹ ਸੀ ਜਿਸ ਨੂੰ ਅਬੀਟਾਲ ਨੇ ਜਨਮ ਦਿੱਤਾ
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 5] ਅਤੇ ਛੇਵਾਂ ਯਿਥਰਆਮ ਸੀ, ਉਹ ਜੋ ਦਾਊਦ ਦੀ ਪਤਨੀ ਅਗਲਾਹ ਦੀ ਕੁੱਖੋਂ ਪੈਦਾ ਹੋਇਆ ਸੀ। ਦਾਊਦ ਦੇ ਇਹ ਪੁੱਤਰ ਹਬਰੋਨ ਵਿੱਚ ਪੈਦਾ ਹੋਏ।
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 6] ਜਦ ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਅਤੇ ਦਾਊਦ ਘਰਾਣੇ ਵਿੱਚ ਲੜਾਈ ਹੋ ਰਹੀ ਸੀ ਤਾਂ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਅਬਨੇਰ ਨੇ ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਵਿੱਚ ਆਪਣੇ ਆਪ ਨੂੰ ਤਕੜਾ ਕੀਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 7] ਸ਼ਾਊਲ ਦੀ ਇੱਕ ਰਖ਼ੈਲ ਰਿਜ਼ਪਾਹ ਜੋ ਅੱਯਾਹ ਦੀ ਧੀ ਸੀ, ਈਸ਼ਬੋਸ਼ਥ ਨੇ ਅਬਨੇਰ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰੇ ਪਿਤਾ ਦੀ ਰਖ਼ੈਲ ਨਾਲ ਕਿਉਂ ਸੰਗ ਕੀਤਾ?
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 8] ਅਬਨੇਰ ਈਸ਼ਬੋਸ਼ਥ ਦੀ ਇਸ ਗੱਲ ਦੇ ਕਾਰਨ ਗੁੱਸੇ ਹੋਇਆ ਅਤੇ ਆਖਿਆ, ਕੀ ਮੈਂ ਯਹੂਦਾਹ ਦੇ ਕੁੱਤੇ ਦਾ ਸਿਰ ਹਾਂ? ਮੈਂ ਯਹੂਦਾਹ ਨਾਲ ਵਿਰੋਧ ਕਰ ਕੇ ਅੱਜ ਦੇ ਦਿਨ ਤੱਕ ਤੇਰੇ ਪਿਤਾ ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਉੱਤੇ ਅਤੇ ਉਹ ਦੇ ਭਰਾਵਾਂ ਉੱਤੇ ਅਤੇ ਉਹ ਦੇ ਮਿੱਤਰਾਂ ਉੱਤੇ ਕਿਰਪਾ ਕਰਦਾ ਰਿਹਾ ਹਾਂ ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਦਾਊਦ ਦੇ ਹੱਥ ਨਹੀਂ ਸੌਂਪਿਆ, ਪਰ ਤੂੰ ਅੱਜ ਇਸ ਇਸਤਰੀ ਦੇ ਕਾਰਨ ਮੇਰੇ ਉੱਤੇ ਦੋਸ਼ ਲਗਾਉਂਦਾ ਹੈਂ?
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 9] ਪਰਮੇਸ਼ੁਰ ਅਬਨੇਰ ਨਾਲ ਅਜਿਹਾ ਹੀ ਕਰੇ ਸਗੋਂ ਇਸ ਨਾਲੋਂ ਵੀ ਵਧੇਰੇ ਮੈਂ ਉਸੇ ਤਰ੍ਹਾਂ ਨਾਲ ਕੰਮ ਨਾ ਕਰਾਂ, ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਦਾਊਦ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 10] ਰਾਜ ਨੂੰ ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਤੋਂ ਵੱਖਰਾ ਕਰ ਦੇਵਾਂ ਅਤੇ ਦਾਊਦ ਦੀ ਗੱਦੀ ਨੂੰ ਇਸਰਾਏਲ ਉੱਤੇ ਅਤੇ ਯਹੂਦਾਹ ਉੱਤੇ ਦਾਨ ਤੋਂ ਲੈ ਕੇ ਬਏਰਸ਼ਬਾ ਤੱਕ ਸਥਿਰ ਕਰ ਦੇਵਾਂ!
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 11] ਤਦ ਉਹ ਅਬਨੇਰ ਦੇ ਸਾਹਮਣੇ ਫਿਰ ਕੁਝ ਉੱਤਰ ਨਾ ਦੇ ਸਕਿਆ, ਕਿਉਂ ਜੋ ਉਹ ਉਸ ਤੋਂ ਡਰ ਗਿਆ ਸੀ।
[IRV | PA | OT | 2 Samuel | Chapter 3 | Verse 12] ਇਸ ਲਈ ਅਬਨੇਰ ਨੇ ਦਾਊਦ ਕੋਲ ਦੂਤ ਭੇਜੇ ਅਤੇ ਆਖਿਆ, ਦੇਸ਼ ਕਿਹ ਦਾ ਹੈ? ਤੁਸੀਂ ਮੇਰੇ ਨਾਲ ਵਾਇਦਾ ਕਰੋ ਅਤੇ ਵੇਖੋ, ਮੈਂ ਤੁਹਾਡੀ ਸਹਾਇਤਾ ਕਰਾਂਗਾ ਜੋ ਸਾਰੇ ਇਸਰਾਏਲ ਦੇ ਮਨਾਂ ਨੂੰ ਤੁਹਾਡੀ ਵੱਲ ਕਰ ਦੇਵਾਂ।
