[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 1] ਇਹ ਤੋਂ ਬਾਅਦ ਦਾਊਦ ਨੇ ਯਹੋਵਾਹ ਕੋਲੋਂ ਪੁੱਛ-ਗਿੱਛ ਕੀਤੀ, ਕੀ ਮੈਂ ਯਹੂਦਾਹ ਦੇ ਨਗਰ ਵਿੱਚ ਜਾਂਵਾਂ? ਯਹੋਵਾਹ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਚਲਾ ਜਾ! ਫਿਰ ਦਾਊਦ ਨੇ ਪੁੱਛਿਆ, ਕਿੱਥੇ ਜਾਂਵਾਂ? ਉਸ ਨੇ ਆਖਿਆ ਹਬਰੋਨ ਵੱਲ,
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 2] ਇਸ ਲਈ ਦਾਊਦ ਉੱਥੇ ਗਿਆ ਅਤੇ ਉਹ ਦੀਆਂ ਪਤਨੀਆਂ ਅਰਥਾਤ ਯਿਜ਼ਰਏਲ ਅਹੀਨੋਅਮ ਅਤੇ ਕਰਮਲੀ ਨਾਬਾਲ ਦੀ ਪਤਨੀ ਅਬੀਗੈਲ ਵੀ ਉਸ ਦੇ ਨਾਲ ਸਨ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 3] ਦਾਊਦ ਆਪਣੇ ਲੋਕਾਂ ਨੂੰ ਜੋ ਉਹ ਦੇ ਨਾਲ ਸਨ, ਉਨ੍ਹਾਂ ਦੇ ਘਰਾਣੇ ਸਮੇਤ ਲੈ ਆਇਆ ਸੋ ਉਹ ਹਬਰੋਨ ਦੇ ਪਿੰਡਾਂ ਵਿੱਚ ਆ ਵੱਸੇ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 4] ਤਦ ਯਹੂਦਾਹ ਦੇ ਲੋਕ ਆਏ ਅਤੇ ਉੱਥੇ ਉਨ੍ਹਾਂ ਨੇ ਦਾਊਦ ਨੂੰ ਅਭਿਸ਼ੇਕ ਕੀਤਾ ਜੋ ਉਹ ਯਹੂਦਾਹ ਦੇ ਘਰਾਣੇ ਦਾ ਰਾਜਾ ਬਣੇ ਅਤੇ ਲੋਕਾਂ ਨੇ ਇਹ ਆਖ ਕੇ ਦਾਊਦ ਨੂੰ ਖ਼ਬਰ ਦਿੱਤੀ ਕਿ ਜਿਨ੍ਹਾਂ ਨੇ ਸ਼ਾਊਲ ਨੂੰ ਦੱਬਿਆ ਸੀ ਉਹ ਗਿਲਆਦ ਦੇ ਯਾਬੇਸ਼ ਨਗਰ ਦੇ ਲੋਕ ਹਨ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 5] ਸੋ ਦਾਊਦ ਨੇ ਯਾਬੇਸ਼ ਗਿਲਆਦ ਦੇ ਲੋਕਾਂ ਕੋਲ ਦੂਤ ਭੇਜ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ ਕਿ ਯਹੋਵਾਹ ਵੱਲੋਂ ਤੁਸੀਂ ਆਪਣੇ ਮਾਲਕ ਸ਼ਾਊਲ ਉੱਤੇ ਵੱਡੀ ਦਯਾ ਕੀਤੀ ਜੋ ਉਹ ਨੂੰ ਦਫ਼ਨਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 6] ਹੁਣ ਯਹੋਵਾਹ ਤੁਹਾਡੇ ਨਾਲ ਕਿਰਪਾ ਅਤੇ ਸਚਿਆਈ ਨਾਲ ਵਰਤਾਉ ਕਰੇ ਅਤੇ ਮੈਂ ਵੀ ਤੁਹਾਨੂੰ ਉਸ ਭਲਿਆਈ ਦਾ ਬਦਲਾ ਦਿਆਂਗਾ ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਇਹ ਕੰਮ ਕੀਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 7] ਇਸ ਲਈ ਤੁਹਾਡੇ ਹੱਥ ਮਜ਼ਬੂਤ ਹੋਣ ਤੁਸੀਂ ਦਲੇਰ ਹੋਵੋ ਕਿਉਂ ਜੋ ਤੁਹਾਡਾ ਮਾਲਕ ਸ਼ਾਊਲ ਮਰ ਗਿਆ ਹੈ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਘਰਾਣੇ ਨੇ ਮੈਨੂੰ ਅਭਿਸ਼ੇਕ ਕੀਤਾ ਜੋ ਮੈਂ ਉਹਨਾਂ ਦਾ ਰਾਜਾ ਬਣਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 8] ਪਰ ਨੇਰ ਦੇ ਪੁੱਤਰ ਅਬਨੇਰ ਨੇ ਜਿਹੜਾ ਸ਼ਾਊਲ ਦਾ ਸੈਨਾਪਤੀ ਸੀ, ਸ਼ਾਊਲ ਦੇ ਪੁੱਤਰ ਈਸ਼ਬੋਸ਼ਥ ਨੂੰ ਨਾਲ ਲੈ ਕੇ ਉਹ ਨੂੰ ਮਹਨਇਮ ਵਿੱਚ ਪਹੁੰਚਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 9] ਅਤੇ ਉਹ ਨੂੰ ਗਿਲਆਦ, ਅਸ਼ੂਰਿਆ, ਯਿਜ਼ਰਏਲ, ਇਫ਼ਰਾਈਮ, ਬਿਨਯਾਮੀਨ, ਅਤੇ ਸਾਰੇ ਇਸਰਾਏਲ ਦਾ ਰਾਜਾ ਬਣਾ ਦਿੱਤਾ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 10] ਸ਼ਾਊਲ ਦੇ ਪੁੱਤਰ ਈਸ਼ਬੋਸ਼ਥ ਦੀ ਉਮਰ ਚਾਲ੍ਹੀ ਸਾਲ ਸੀ, ਜਿਸ ਵੇਲੇ ਉਹ ਇਸਰਾਏਲ ਦਾ ਰਾਜਾ ਬਣਿਆ ਅਤੇ ਉਸ ਨੇ ਦੋ ਸਾਲ ਰਾਜ ਕੀਤਾ ਪਰ ਯਹੂਦਾਹ ਦਾ ਘਰਾਣਾ ਦਾਊਦ ਦੇ ਪੱਖ ਵਿੱਚ ਰਿਹਾ।
[IRV | PA | OT | 2 Samuel | Chapter 2 | Verse 11] ਦਾਊਦ ਨੇ ਹਬਰੋਨ ਵਿੱਚ ਯਹੂਦਾਹ ਦੇ ਘਰਾਣੇ ਉੱਤੇ ਸੱਤ ਸਾਲ ਛੇ ਮਹੀਨੇ ਰਾਜ ਕੀਤਾ।
