[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 1] ਫਿਰ ਦਾਊਦ ਨੇ ਪੁੱਛਿਆ, ਕੀ ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਵਿੱਚੋਂ ਅਜੇ ਵੀ ਕੋਈ ਰਹਿੰਦਾ ਹੈ ਤਾਂ ਜੋ ਮੈਂ ਯੋਨਾਥਾਨ ਦੇ ਕਾਰਨ ਉਸ ਉੱਤੇ ਦਯਾ ਕਰਾਂ?
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 2] ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਦਾ ਸੀਬਾ ਨਾਮ ਦਾ ਇੱਕ ਸੇਵਕ ਸੀ ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਦਾਊਦ ਕੋਲ ਸੱਦਿਆ ਤਾਂ ਰਾਜਾ ਨੇ ਉਸ ਨੂੰ ਪੁੱਛਿਆ, ਤੂੰ ਸੀਬਾ ਹੈਂ? ਉਹ ਬੋਲਿਆ, ਜੀ ਤੁਹਾਡਾ ਸੇਵਕ ਮੈਂ ਉਹੋ ਹੀ ਹਾਂ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 3] ਤਦ ਰਾਜਾ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਸ਼ਾਊਲ ਦੇ ਘਰਾਣੇ ਵਿੱਚੋਂ ਕੋਈ ਰਹਿੰਦਾ ਹੈ ਤਾਂ ਜੋ ਮੈਂ ਉਹ ਦੇ ਨਾਲ ਪਰਮੇਸ਼ੁਰ ਜਿਹੀ ਦਯਾ ਕਰਾਂ? ਸੀਬਾ ਨੇ ਰਾਜਾ ਨੂੰ ਆਖਿਆ, ਅਜੇ ਯੋਨਾਥਾਨ ਦਾ ਇੱਕ ਪੁੱਤਰ ਹੈ ਜੋ ਪੈਰੋਂ ਲੰਗੜਾ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 4] ਤਦ ਰਾਜਾ ਨੇ ਉਹ ਨੂੰ ਪੁੱਛਿਆ, ਉਹ ਕਿੱਥੇ ਹੈ? ਸੀਬਾ ਨੇ ਰਾਜਾ ਨੂੰ ਆਖਿਆ ਵੇਖੋ ਲੋ-ਦੇਬਾਰ ਵਿੱਚ ਅੰਮੀਏਲ ਦੇ ਪੁੱਤਰ ਮਾਕੀਰ ਦੇ ਘਰ ਵਿੱਚ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 5] ਸੋ ਦਾਊਦ ਰਾਜਾ ਨੇ ਮਨੁੱਖ ਭੇਜੇ ਅਤੇ ਲੋ-ਦੇਬਾਰ ਤੋਂ ਅੰਮੀਏਲ ਦੇ ਪੁੱਤਰ ਮਾਕੀਰ ਦੇ ਘਰੋਂ ਉਹ ਨੂੰ ਮੰਗਵਾ ਲਿਆ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 6] ਅਤੇ ਜਦ ਸ਼ਾਊਲ ਦਾ ਪੋਤਰਾ ਯੋਨਾਥਾਨ ਦਾ ਪੁੱਤਰ ਮਫ਼ੀਬੋਸ਼ਥ ਦਾਊਦ ਦੇ ਕੋਲ ਆਇਆ ਤਾਂ ਉਸ ਨੇ ਮੂੰਹ ਦੇ ਭਾਰ ਡਿੱਗ ਕੇ ਮੱਥਾ ਟੇਕਿਆ। ਤਦ ਦਾਊਦ ਨੇ ਆਖਿਆ, ਮਫੀਬੋਸ਼ਥ! ਉਸ ਨੇ ਆਖਿਆ, ਵੇਖੋ, ਤੁਹਾਡਾ ਸੇਵਕ ਹਾਜ਼ਰ ਹੈ!
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 7] ਸੋ ਦਾਊਦ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਡਰ ਨਾ ਕਿਉਂ ਜੋ ਮੈਂ ਤੇਰੇ ਪਿਤਾ ਯੋਨਾਥਾਨ ਦੇ ਕਾਰਨ ਤੇਰੇ ਨਾਲ ਭਲਿਆਈ ਕਰਾਂਗਾ ਅਤੇ ਤੇਰੇ ਦਾਦਾ ਸ਼ਾਊਲ ਦੀ ਸਾਰੀ ਜ਼ਮੀਨ ਤੈਨੂੰ ਮੋੜ ਦਿਆਂਗਾ ਅਤੇ ਤੂੰ ਹਮੇਸ਼ਾ ਮੇਰੀ ਮੇਜ਼ ਤੋਂ ਰੋਟੀ ਖਾਵੇਂਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 8] ਤਦ ਉਸ ਨੇ ਮੱਥਾ ਟੇਕਿਆ ਅਤੇ ਬੋਲਿਆ, ਤੁਹਾਡਾ ਸੇਵਕ ਹੈ ਹੀ ਕੀ ਜੋ ਤੁਸੀਂ ਮੇਰੇ ਉੱਤੇ ਜੋ ਮਰੇ ਹੋਏ ਕੁੱਤੇ ਵਰਗਾ ਹਾਂ ਧਿਆਨ ਕਰੋ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 9] ਤਦ ਰਾਜਾ ਨੇ ਸ਼ਾਊਲ ਦੇ ਸੇਵਕ ਸੀਬਾ ਨੂੰ ਸੱਦਿਆ ਅਤੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਸਭ ਕੁਝ ਜੋ ਸ਼ਾਊਲ ਅਤੇ ਉਸ ਦੇ ਘਰਾਣੇ ਦਾ ਸੀ, ਸੋ ਤੇਰੇ ਮਾਲਕ ਦੇ ਪੁੱਤਰ ਨੂੰ ਦੇ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 10] ਸੋ ਤੂੰ ਆਪਣੇ ਪੁੱਤਰਾਂ ਅਤੇ ਸੇਵਕਾਂ ਸਮੇਤ ਉਹ ਦੇ ਲਈ ਜ਼ਮੀਨ ਵਾਹ ਅਤੇ ਉਸ ਦੀ ਪੈਦਾਵਾਰ ਲਿਆਇਆ ਕਰ ਜੋ ਤੇਰੇ ਮਾਲਕ ਦੇ ਪੁੱਤਰ ਦੇ ਲਈ ਰੋਟੀ ਹੋਵੇ ਪਰ ਮਫ਼ੀਬੋਸ਼ਥ ਜੋ ਤੇਰੇ ਮਾਲਕ ਦਾ ਪੁੱਤਰ ਹੈ ਉਹ ਹਮੇਸ਼ਾ ਲਈ ਮੇਰੀ ਮੇਜ਼ ਤੋਂ ਰੋਟੀ ਖਾਵੇਗਾ, ਸੀਬਾ ਦੇ ਪੰਦਰਾ ਪੁੱਤਰ ਅਤੇ ਵੀਹ ਸੇਵਕ ਸਨ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 11] ਸੀਬਾ ਨੇ ਰਾਜਾ ਨੂੰ ਆਖਿਆ, ਸਭ ਕੁਝ ਜੋ ਮੇਰੇ ਮਹਾਰਾਜ ਰਾਜਾ ਨੇ ਆਪਣੇ ਸੇਵਕ ਨੂੰ ਆਖਿਆ ਹੈ ਸੋ ਤੁਹਾਡਾ ਸੇਵਕ ਕਰੇਗਾ ਪਰ ਮਫ਼ੀਬੋਸ਼ਥ ਦੇ ਲਈ ਰਾਜਾ ਨੇ ਆਖਿਆ ਕਿ ਉਹ ਰਾਜਾ ਦੇ ਪੁੱਤਰਾਂ ਵਾਂਗੂੰ ਮੇਰੀ ਮੇਜ਼ ਤੋਂ ਰੋਟੀ ਖਾਵੇਗਾ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 12] ਮਫ਼ੀਬੋਸ਼ਥ ਦਾ ਮੀਕਾ ਨਾਮ ਦੇ ਇੱਕ ਛੋਟਾ ਜਿਹਾ ਪੁੱਤਰ ਸੀ ਅਤੇ ਜਿੰਨ੍ਹੇ ਸੀਬਾ ਦੇ ਘਰ ਵਿੱਚ ਰਹਿੰਦੇ ਸਨ ਸਭ ਮਫੀਬੋਸ਼ਥ ਦੇ ਸੇਵਕ ਸਨ।
[IRV | PA | OT | 2 Samuel | Chapter 9 | Verse 13] ਮਫ਼ੀਬੋਸ਼ਥ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਰਿਹਾ ਕਿਉਂ ਜੋ ਉਹ ਹਮੇਸ਼ਾ ਰਾਜੇ ਦੀ ਮੇਜ਼ ਤੋਂ ਭੋਜਨ ਕਰਦਾ ਸੀ ਅਤੇ ਦੋਹਾਂ ਪੈਰਾਂ ਤੋਂ ਲੰਗੜਾ ਸੀ।
