[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 1] லேவியின் மகன்கள் கெர்சோன், கோகாத், மெராரி என்பவர்கள்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 2] கோகாத்தின் மகன்கள் அம்ராம், இத்சேயார், எப்ரோன் ஊசியேல் என்பவர்கள்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 3] அம்ராமின் பிள்ளைகள், ஆரோன், மோசே, மிரியாம் என்பவர்கள்; ஆரோனின் மகன்கள் நாதாப், அபியூ, எலெயாசார், இத்தாமார் என்பவர்கள்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 4] எலெயாசார் பினெகாசைப் பெற்றான்; பினெகாஸ் அபிசுவாவைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 5] அபிசுவா புக்கியைப் பெற்றான்; புக்கி ஊசியைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 6] ஊசி செராகியாவைப் பெற்றான்; செராகியா மெராயோதைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 7] மெராயோத் அமரியாவைப் பெற்றான்; அமரியா அகிதூபைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 8] அகிதூப் சாதோக்கைப் பெற்றான்; சாதோக் அகிமாசைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 9] அகிமாஸ் அசரியாவைப் பெற்றான்; அசரியா யோகனானைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 10] யோகனான் அசரியாவைப் பெற்றான்; சாலொமோன் எருசலேமில் கட்டின ஆலயத்திலே ஆசாரிய பணியைச் செய்தவன் இவன்தான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 11] அசரியா அமரியாவைப் பெற்றான்; அமரியா அகிதூபைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 12] அகிதூப் சாதோக்கைப் பெற்றான்; சாதோக் சல்லூமைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 13] சல்லூம் இல்க்கியாவைப் பெற்றான்; இல்க்கியா அசரியாவைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 14] அசரியா செராயாவைப் பெற்றான்; செராயா யோசதாக்கைப் பெற்றான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 15] யெகோவா நேபுகாத்நேச்சாரைக் கொண்டு யூதா மக்களையும் எருசலேமியர்களையும் சிறைபிடித்துக் கொண்டுபோகச்செய்தபோது யோசதாக்கும் சிறைப்பட்டுப்போனான்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 16] லேவியின் மகன்கள் கெர்சோம், கோகாத், மெராரி என்பவர்களே.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 17] கெர்சோமுடைய மகன்களின் பெயர்கள், லிப்னி, சீமேயி என்பவைகள்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 18] கோகாத்தின் மகன்கள் அம்ராம், இத்சேயார், எப்ரோன், ஊசியேல் என்பவர்கள்.
[IRV | TA | OT | 1 Chronicles | Chapter 6 | Verse 19] மெராரியின் மகன்கள் மகேலி, மூசி என்பவர்கள். லேவியர்களுக்கு அவர்களுடைய பிதாக்களின் வழியாக உண்டான வம்சங்கள்:
