[BSB | EN | NT | 1 John | Chapter 3 | Verse 1] Behold what manner of love the Father has given to us, that we should be called children of God. And that is what we are! The reason the world does not know us is that it did not know Him.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 2] Beloved, we are now children of God, and what we will be has not yet been revealed. We know that when Christ appears, we will be like Him, for we will see Him as He is.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 3] And everyone who has this hope in Him purifies himself, just as Christ is pure.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 4] Everyone who practices sin practices lawlessness as well. Indeed, sin is lawlessness.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 5] But you know that Christ appeared to take away sins, and in Him there is no sin.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 6] No one who remains in Him keeps on sinning. No one who continues to sin has seen Him or known Him.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 7] Little children, let no one deceive you: The one who practices righteousness is righteous, just as Christ is righteous.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 8] The one who practices sin is of the devil, because the devil has been sinning from the very start. This is why the Son of God was revealed, to destroy the works of the devil.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 9] Anyone born of God refuses to practice sin, because God’s seed abides in him; he cannot go on sinning, because he has been born of God.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 10] By this the children of God are distinguished from the children of the devil: Anyone who does not practice righteousness is not of God, nor is anyone who does not love his brother.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 11] This is the message you have heard from the beginning: We should love one another.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 12] Do not be like Cain, who belonged to the evil one and murdered his brother. And why did Cain slay him? Because his own deeds were evil, while those of his brother were righteous.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 13] So do not be surprised, brothers, if the world hates you.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 14] We know that we have passed from death to life, because we love our brothers. The one who does not love remains in death.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 15] Everyone who hates his brother is a murderer, and you know that eternal life does not reside in a murderer.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 16] By this we know what love is: Jesus laid down His life for us, and we ought to lay down our lives for our brothers.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 17] If anyone with earthly possessions sees his brother in need, but withholds his compassion from him, how can the love of God abide in him?
[BSB | EN | NT | 1 John | Chapter 3 | Verse 18] Little children, let us love not in word and speech, but in action and truth.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 19] And by this we will know that we belong to the truth, and will assure our hearts in His presence:
[BSB | EN | NT | 1 John | Chapter 3 | Verse 20] Even if our hearts condemn us, God is greater than our hearts, and He knows all things.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 21] Beloved, if our hearts do not condemn us, we have confidence before God,
[BSB | EN | NT | 1 John | Chapter 3 | Verse 22] and we will receive from Him whatever we ask, because we keep His commandments and do what is pleasing in His sight.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 23] And this is His commandment: that we should believe in the name of His Son, Jesus Christ, and we should love one another just as He commanded us.
[BSB | EN | NT | 1 John | Chapter 3 | Verse 24] Whoever keeps His commandments remains in God, and God in him. And by this we know that He remains in us: by the Spirit He has given us.
