[WEB | EN | OT | Micah | Chapter 4 | Verse 1] But in the latter days, it will happen that the mountain of the LORD’s temple will be established on the top of the mountains, and it will be exalted above the hills; and peoples will stream to it.
[WEB | EN | OT | Micah | Chapter 4 | Verse 2] Many nations will go and say, “Come! Let’s go up to the mountain of the LORD, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths.” For the law will go out of Zion, and the LORD’s word from Jerusalem;
[WEB | EN | OT | Micah | Chapter 4 | Verse 3] and he will judge between many peoples, and will decide concerning strong nations afar off. They will beat their swords into plowshares, and their spears into pruning hooks. Nation will not lift up sword against nation, neither will they learn war any more.
[WEB | EN | OT | Micah | Chapter 4 | Verse 4] But every man will sit under his vine and under his fig tree. No one will make them afraid, for the mouth of the LORD of Armies has spoken.
[WEB | EN | OT | Micah | Chapter 4 | Verse 5] Indeed all the nations may walk in the name of their gods, but we will walk in the name of the LORD our God forever and ever.
[WEB | EN | OT | Micah | Chapter 4 | Verse 6] “In that day,” says the LORD, “I will assemble that which is lame, and I will gather that which is driven away, and that which I have afflicted;
[WEB | EN | OT | Micah | Chapter 4 | Verse 7] and I will make that which was lame a remnant, and that which was cast far off a strong nation: and the LORD will reign over them on Mount Zion from then on, even forever.”
[WEB | EN | OT | Micah | Chapter 4 | Verse 8] You, tower of the flock, the hill of the daughter of Zion, to you it will come. Yes, the former dominion will come, the kingdom of the daughter of Jerusalem.
[WEB | EN | OT | Micah | Chapter 4 | Verse 9] Now why do you cry out aloud? Is there no king in you? Has your counselor perished, that pains have taken hold of you as of a woman in travail?
[WEB | EN | OT | Micah | Chapter 4 | Verse 10] Be in pain, and labor to give birth, daughter of Zion, like a woman in travail; for now you will go out of the city, and will dwell in the field, and will come even to Babylon. There you will be rescued. There the LORD will redeem you from the hand of your enemies.
[WEB | EN | OT | Micah | Chapter 4 | Verse 11] Now many nations have assembled against you, that say, “Let her be defiled, and let our eye gloat over Zion.”
[WEB | EN | OT | Micah | Chapter 4 | Verse 12] But they don’t know the thoughts of the LORD, neither do they understand his counsel; for he has gathered them like the sheaves to the threshing floor.
[WEB | EN | OT | Micah | Chapter 4 | Verse 13] Arise and thresh, daughter of Zion, for I will make your horn iron, and I will make your hoofs bronze. You will beat in pieces many peoples. I will devote their gain to the LORD, and their substance to the Lord of the whole earth.
