[JPS | EN | OT | Amos | Chapter 1 | Verse 1] THE WORDS of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.
[JPS | EN | OT | Amos | Chapter 1 | Verse 2] And he said: The LORD roareth from Zion, and uttereth His voice from Jerusalem; and the pastures of the shepherds shall mourn, and the top of Carmel shall wither.
[JPS | EN | OT | Amos | Chapter 1 | Verse 3] For thus saith the LORD: For three transgressions of Damascus, yea, for four, I will not reverse it: because they have threshed Gilead with sledges of iron.
[JPS | EN | OT | Amos | Chapter 1 | Verse 4] So will I send a fire into the house of Hazael, and it shall devour the palaces of Ben-hadad;
[JPS | EN | OT | Amos | Chapter 1 | Verse 5] And I will break the bar of Damascus, and cut off the inhabitant from Bikath-Aven, and him that holdeth the sceptre from Beth-eden; and the people of Aram shall go into captivity unto Kir, saith the LORD.
[JPS | EN | OT | Amos | Chapter 1 | Verse 6] Thus saith the LORD: For three transgressions of Gaza, yea, for four, I will not reverse it: because they carried away captive a whole captivity, to deliver them up to Edom.
[JPS | EN | OT | Amos | Chapter 1 | Verse 7] So will I send a fire on the wall of Gaza, and it shall devour the palaces thereof;
[JPS | EN | OT | Amos | Chapter 1 | Verse 8] And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon; and I will turn My hand against Ekron, and the remnant of the Philistines shall perish, saith the Lord GOD.
[JPS | EN | OT | Amos | Chapter 1 | Verse 9] Thus saith the LORD: For three transgressions of Tyre, yea, for four, I will not reverse it: because they delivered up a whole captivity to Edom, and remembered not the brotherly covenant.
[JPS | EN | OT | Amos | Chapter 1 | Verse 10] So will I send a fire on the wall of Tyre, and it shall devour the palaces thereof.
[JPS | EN | OT | Amos | Chapter 1 | Verse 11] Thus saith the LORD: For three transgressions of Edom, yea, for four, I will not reverse it: because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever.
[JPS | EN | OT | Amos | Chapter 1 | Verse 12] So will I send a fire upon Teman, and it shall devour the palaces of Bozrah.
[JPS | EN | OT | Amos | Chapter 1 | Verse 13] Thus saith the LORD: For three transgressions of the children of Ammon, yea, for four, I will not reverse it: because they have ripped up the women with child of Gilead, that they might enlarge their border.
[JPS | EN | OT | Amos | Chapter 1 | Verse 14] So will I kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind;
[JPS | EN | OT | Amos | Chapter 1 | Verse 15] And their king shall go into captivity, he and his princes together, saith the LORD.
