[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 1] సొలొమోను రాజు ఇశ్రాయేలీయులందరి మీదా రాజయ్యాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 2] అతని దగ్గర ఉన్న అధికారులు ఎవరంటే, సాదోకు కొడుకు అజర్యా యాజకుడు,
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 3] షీషా కొడుకులు ఎలీహోరెపు, అహీయా ప్రధాన మంత్రులు, అహీలూదు కొడుకు యెహోషాపాతు లేఖికుడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 4] యెహోయాదా కొడుకు బెనాయా సైన్యాధిపతి, సాదోకు, అబ్యాతారు యాజకులు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 5] నాతాను కొడుకు అజర్యా అధికారుల పైఅధికారిగా ఉన్నాడు. నాతాను మరో కొడుకు జాబూదు యాజకుడు, రాజు చెలికాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 6] అహీషారు గృహ నిర్వాహకుడు, అబ్దా కొడుకు అదోనీరాము వెట్టి చాకిరీ పనివాళ్ళపై అధికారి.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 7] ఇశ్రాయేలీయులందరి మీదా సొలొమోను 12 మంది అధికారులను నియమించాడు. వీరు రాజుకు, అతని ఇంటివారికి ఆహారం ఏర్పాటు చేసేవారు. సంవత్సరంలో ఒక్కొక్క నెలకు వారిలో ఒక్కొక్కడు ఆహారం సరఫరా చేసే బాధ్యత వహించాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 8] వారెవరంటే, ఎఫ్రాయిము మన్యంలో ఉండే హూరు కొడుకు,
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 9] మాకస్సులో, షయల్బీములో, బేత్షెమెషులో, ఏలోన్ బేత్ హనాన్లో దెకెరు కొడుకు,
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 10] అరుబ్బోతులో హెసెదు కొడుకు, ఇతనికి శోకో, హెపెరు దేశాలు అప్పగించారు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 11] అబీనాదాబు కొడుక్కి దోరు మన్య ప్రదేశమంతా అప్పగించారు. సొలొమోను కూతురు టాపాతు ఇతని భార్య.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 12] అహీలూదు కొడుకు బయనాకు తానాకు, మెగిద్దో, బేత్షెయాను ప్రదేశమంతా అప్పగించారు. ఇది యెజ్రెయేలు దగ్గర ఉన్న సారెతా నుండి బేత్షెయాను మొదలు ఆబేల్మెహోలా వరకూ యొక్నెయాము అవతలి స్థలం వరకూ వ్యాపించింది.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 13] గెబెరు కొడుకు రామోత్గిలాదులో కాపురమున్నాడు. ఇతనికి గిలాదులో ఉన్న మనష్షే కుమారుడు యాయీరు గ్రామాలు, బాషానులో ఉన్న అర్గోబు దేశం అప్పగించారు. అది ప్రాకారాలు, ఇత్తడి అడ్డగడియలు ఉన్న 60 గొప్ప పట్టణాలున్న ప్రాంతం.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 14] ఇద్దో కొడుకు అహీనాదాబు మహనయీములో ఉండగా
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 15] నఫ్తాలీము దేశంలో అహిమయస్సు ఉన్నాడు. ఇతడు సొలొమోను కూతురు బాశెమతును పెళ్ళి చేసుకున్నాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 16] ఆషేరులో, ఆలోతులో హూషై కొడుకైన బయనా ఉండేవాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 17] ఇశ్శాఖారు దేశంలో పరూయహు కొడుకు యెహోషాపాతు ఉండేవాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 18] బెన్యామీను దేశంలో ఏలా కొడుకు షిమీ ఉండేవాడు.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 19] గిలాదు దేశంలో, అమోరీయుల రాజు సీహోను దేశంలో, బాషాను రాజు ఓగు దేశంలో, ఊరీ కొడుకైన గెబెరు ఉన్నాడు. అతడు ఒక్కడే ఆ దేశంలో అధికారి.
[IRV | TE | OT | 1 Kings | Chapter 4 | Verse 20] అయితే యూదావారూ ఇశ్రాయేలు వారూ సముద్రం ఒడ్డున ఉండే ఇసుక రేణువులంత విస్తారమైన సమూహంగా ఉండి తింటూ, తాగుతూ, సంబరపడుతూ ఉన్నారు.
