[DARBY | EN | OT | Daniel | Chapter 11 | Verse 1] And I, in the first year of Darius the Mede, I stood to confirm and to strengthen him.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 2] And now will I declare unto thee the truth. Behold, there shall stand up yet three kings in Persia; and the fourth shall enrich himself with great riches more than all; and when he hath become strong through his riches, he shall stir up all against the realm of Greece.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 3] And a mighty king shall stand up that shall rule with great dominion, and do according to his will.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 4] And when he shall stand up, his kingdom shall be broken, and shall be divided toward the four winds of the heavens; but not to his posterity, nor according to his dominion wherewith he ruled; for his kingdom shall be plucked up, even for others beside these.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 5] And the king of the south, who is one of his princes, shall be strong; but [another] shall be stronger than he, and have dominion: his dominion shall be a great dominion.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 6] And after the course of years they shall join affinity; and the king's daughter of the south shall come to the king of the north to make equitable conditions: but she shall not retain the strength of her arm; neither shall he stand, nor his arm; and she shall be given up, she and they that brought her, and he that begat her, and he that strengthened her in [those] times.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 7] But out of a shoot from her roots shall one stand up in his place, who shall come to the army, and shall enter into the fortress of the king of the north, and shall deal against them, and shew himself mighty.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 8] He shall also carry captive into Egypt their gods, with their princes, and their precious vessels of silver and of gold; and he shall subsist for more years than the king of the north;
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 9] and [the same] shall come into the realm of the king of the south, but shall return into his own land.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 10] And his sons shall be stirred up, and shall assemble a multitude of great forces; and one shall certainly come, and overflow, and pass through; and he shall return and carry the war even to his fortress.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 11] And the king of the south shall be enraged, and shall come forth and fight with him, with the king of the north, who shall set forth a great multitude, but the multitude shall be given into his hand.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 12] And when the multitude shall have been taken away, his heart shall be exalted; and he shall cast down myriads; but he shall not prevail.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 13] For the king of the north shall return, and shall set forth a multitude greater than the former; and shall certainly come at the end of the times of years with a great army and with much substance.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 14] And in those times shall many stand up against the king of the south; and the violent of thy people will exalt themselves to establish the vision; but they shall fall.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 15] And the king of the north shall come, and cast up a mound, and take the well-fenced city; and the arms of the south shall not withstand, neither his chosen people, for there shall be no strength to withstand.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 16] And he that cometh against him shall do according to his own will, and none shall stand before him; and he shall stand in the land of beauty, and destruction shall be in his hand.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 17] And he shall set his face to come with the strength of his whole kingdom, and upright ones with him; and he shall practise; and he shall give him the daughter of women, to corrupt her; but she shall not stand, neither shall she be for him.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 18] And he shall turn his face unto the isles, and shall take many; but a captain for his own behalf shall cause the reproach offered by him to cease: he shall turn it upon him, without reproach for himself.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 19] And he shall turn his face toward the fortresses of his own land; and he shall stumble and fall, and not be found.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 20] And in his place shall one stand up who shall cause the exactor to pass through the glory of the kingdom; but in a few days he shall be broken, neither in anger nor in battle.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 21] And in his place shall stand up a vile person, to whom they shall not give the honour of the kingdom; but he shall come in peaceably and obtain the kingdom by flatteries.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 22] And the overflowing forces shall be overflowed from before him, and shall be broken: yea, also the prince of the covenant.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 23] And after the league made with him he shall work deceitfully, and he shall come up, and shall become strong with a small people.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 24] In time of peace shall he enter even into the fattest places of the province; and he shall do that which his fathers have not done, nor his fathers' fathers: he shall scatter among them prey, and spoil, and substance, and he shall plan his devices against the fortified places, even for a time.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 25] And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall engage in battle with an exceeding great and mighty army; but he shall not stand, for they shall plan devices against him.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 26] And they that eat of his delicate food shall break him, and his army shall be dissolved; and many shall fall down slain.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 27] And both these kings' hearts [shall meditate] mischief, and they shall speak lies at one table; but it shall not prosper; for yet the end shall be at the time appointed.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 28] And he shall return into his land with great substance; and his heart shall be against the holy covenant; and he shall practise, and return to his own land.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 29] At the set time he shall return, and come towards the south; but not as the former time shall be the latter;
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 30] for ships of Chittim shall come against him; and he shall be grieved, and return, and have indignation against the holy covenant; and will practise; and he shall return and direct his attention to those that forsake the holy covenant.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 31] And forces shall stand on his part, and they shall profane the sanctuary, the fortress, and shall take away the continual [sacrifice], and they shall place the abomination that maketh desolate.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 32] And such as do wickedly against the covenant shall he pervert by flatteries; but the people that know their God shall be strong, and shall act.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 33] And they that are wise among the people shall instruct the many; and they shall fall by the sword, and by flame, by captivity, and by spoil, [many] days.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 34] And when they fall, they shall be helped with a little help; but many shall cleave to them with flatteries.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 35] And [some] of the wise shall fall, to try them, and to purge and to make them white, to the time of the end: for it shall yet be for the time appointed.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 36] And the king shall do according to his will; and he shall exalt himself, and magnify himself above every god, and speak monstrous things against the God of gods; and he shall prosper until the indignation be accomplished: for that which is determined shall be done.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 37] And he will not regard the God of his fathers, nor the desire of women; nor regard any god: for he will magnify himself above all.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 38] And in his place will he honour the god of fortresses; and a god whom his fathers knew not will he honour with gold and silver, and with precious stones and pleasant things.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 39] And he will practise in the strongholds of fortresses with a strange god: whoso acknowledgeth him will he increase with glory; and he shall cause them to rule over the many, and shall divide the land [to them] for a reward.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 40] And at the time of the end shall the king of the south push at him; and the king of the north shall come against him like a whirlwind, with chariots, and with horsemen, and with many ships; and he shall enter into the countries, and overflow and pass through.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 41] And he shall enter into the land of beauty, and many [countries] shall be overthrown; but these shall escape out of his hand: Edom, and Moab, and the chief of the children of Ammon.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 42] And he shall stretch forth his hand upon the countries; and the land of Egypt shall not escape.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 43] And he shall have power over the treasures of gold and of silver, and over all the precious things of Egypt; and the Libyans and the Ethiopians shall be at his steps.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 44] But tidings out of the east and out of the north shall trouble him; and he shall go forth with great fury to exterminate, and utterly to destroy many.
[DARBY | EN | OT | Daniel | Chapter 11 | Verse 45] And he shall plant the tents of his palace between the sea and the mountain of holy beauty; and he shall come to his end, and there shall be none to help him.
