[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 1] For this Melchisedec, king of Salem, priest of the most high God, who met Abraham returning from the slaughter of the kings, and blessed him;
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 2] To whom also Abraham gave a tenth part of all; first being by interpretation King of righteousness, and after that also King of Salem, which is, King of peace;
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 3] Without father, without mother, without descent, having neither beginning of days, nor end of life; but made like to the Son of God; abideth a priest continually.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 4] Now consider how great this man was , to whom even the patriarch Abraham gave the tenth of the spoils.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 5] And verily they that are of the sons of Levi, who receive the office of the priesthood, have a commandment to take tithes from the people according to the law, that is, from their brethren, though they come from the loins of Abraham:
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 6] But he whose descent is not counted from them received tithes from Abraham, and blessed him that had the promises.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 7] And without all contradiction the less is blessed by the better.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 8] And here men that die receive tithes; but there he receiveth them , of whom it is testified that he liveth.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 9] And as I may say, Levi also, who receiveth tithes, payed tithes in Abraham.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 10] For he was yet in the loins of his father, when Melchisedec met him.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 11] If therefore perfection were by the Levitical priesthood (for under it the people received the law) what further need was there that another priest should rise after the order of Melchisedec, and not be called after the order of Aaron?
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 12] For the priesthood being changed, there is made of necessity a change also of the law.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 13] For he of whom these things are spoken pertaineth to another tribe, of which no man gave attendance at the altar.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 14] For it is evident that our Lord sprang from Judah; of which tribe Moses spoke nothing concerning priesthood.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 15] And it is yet far more evident: for that after the similitude of Melchisedec there ariseth another priest,
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 16] Who is made, not after the law of a carnal commandment, but after the power of an endless life.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 17] For he testifieth, Thou art a priest for ever after the order of Melchisedec.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 18] For there is verily a disannulling of the preceding commandment on account of its weakness and unprofitableness.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 19] For the law made nothing perfect, but the introduction of a better hope did ; by which we draw nigh to God.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 20] And inasmuch as not without an oath he was made priest :
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 21] (For those priests were made without an oath; but this with an oath, by him that said to him, The Lord swore, and will not repent, Thou art a priest for ever after the order of Melchisedec:)
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 22] By so much was Jesus made a surety of a better testament.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 23] And they truly were many priests, because they were not suffered to continue by reason of death:
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 24] But this man , because he continueth ever, hath an unchangeable priesthood.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 25] Wherefore he is able also to save them to the uttermost that come to God by him, seeing he ever liveth to make intercession for them.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 26] For such a high priest became us, who is holy, harmless, undefiled, separate from sinners, and made higher than the heavens;
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 27] Who needeth not daily, as those high priests, to offer up sacrifice, first for his own sins, and then for the people's: for this he did once, when he offered up himself.
[WEBSTER | EN | NT | Hebrews | Chapter 7 | Verse 28] For the law maketh men high priests who have infirmity; but the word of the oath, which was after the law, maketh the Son, who is consecrated for evermore.
