[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 1] For the law having a shadow of good things to come, and not the very image of the things, can never with those sacrifices which they offered year by year continually make the comers to them perfect.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 2] For then would they not have ceased to be offered? because that the worshipers once cleansed, would have had no more conscience of sins.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 3] But in those sacrifices there is a remembrance again made of sins every year.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 4] For it is not possible that the blood of bulls and of goats should take away sins.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 5] Wherefore, when he cometh into the world, he saith, Sacrifice and offering thou wouldst not, but a body hast thou prepared me:
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 6] In burnt-offerings and sacrifices for sin thou hast had no pleasure.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 7] Then said I, Lo, I come (in the volume of the book it is written concerning me,) to do thy will, O God.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 8] Above, when he said, Sacrifice and offering and burnt-offerings and offering for sin thou wouldst not, neither hadst pleasure in them ; which are offered by the law;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 9] Then said he, Lo, I come to do thy will, O God. He taketh away the first, that he may establish the second.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 10] By which will we are sanctified through the offering of the body of Jesus Christ once for all .
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 11] And every priest standeth daily ministering and offering often the same sacrifices, which can never take away sins:
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 12] But this man, after he had offered one sacrifice for sins, for ever sat down on the right hand of God;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 13] From henceforth waiting till his enemies are made his footstool.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 14] For by one offering he hath perfected for ever them that are sanctified.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 15] Of this the Holy Spirit also is a witness to us: for after that he had said before,
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 16] This is the covenant that I will make with them after those days, saith the Lord, I will put my laws into their hearts, and in their minds will I write them;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 17] And their sins and iniquities will I remember no more.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 18] Now where remission of these is , there is no more offering for sin.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 19] Having therefore, brethren, boldness to enter into the holiest by the blood of Jesus,
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 20] By a new and living way, which he hath consecrated for us, through the vail, that is to say, his flesh;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 21] And having a high priest over the house of God;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 22] Let us draw near with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience, and our bodies washed with pure water.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 23] Let us hold fast the profession of our faith without wavering; for he is faithful that promised:
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 24] And let us consider one another to excite to love and to good works:
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 25] Not forsaking the assembling of ourselves, as the manner of some is ; but exhorting one another : and so much the more, as ye see the day approaching.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 26] For if we sin willfully after we have received the knowledge of the truth, there remaineth no more sacrifice for sins,
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 27] But a certain fearful apprehension of judgment and fiery indignation, which shall devour the adversaries.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 28] He that despised Moses' law, died without mercy under two or three witnesses:
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 29] Of how much more severe punishment, suppose ye, shall he be thought worthy, who hath trodden under foot the Son of God, and hath counted the blood of the covenant, by which he was sanctified, an unholy thing, and hath done despite to the Spirit of grace?
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 30] For we know him that hath said, Vengeance belongeth to me, I will recompense, saith the Lord. And again, The Lord will judge his people.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 31] It is a fearful thing to fall into the hands of the living God.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 32] But call to remembrance the former days, in which, after ye were illuminated, ye endured a great fight of afflictions;
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 33] Partly, while ye were made a gazing-stock both by reproaches and afflictions; and partly, while ye became companions of them that were so used.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 34] For ye had compassion of me in my bonds, and took joyfully the seizing of your goods, knowing in yourselves that ye have in heaven a better and an enduring substance.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 35] Cast not away therefore your confidence, which hath great recompense of reward.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 36] For ye have need of patience, that, after ye have done the will of God, ye may receive the promise.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 37] For yet a little while, and he that is coming will come, and will not tarry.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 38] Now the just shall live by faith: but if any man shall draw back, my soul shall have no pleasure in him.
[WEBSTER | EN | NT | Hebrews | Chapter 10 | Verse 39] But we are not of them who draw back to perdition; but of them that believe to the saving of the soul.
